class,symbol,ts,weekday,open,close,volume
us_stocks,APC,2012-10-21,Sunday,67.64791,66.5142,3977055.0
us_stocks,APC,2012-11-04,Sunday,67.25399,67.92653,2335835.0
us_stocks,APC,2012-11-11,Sunday,68.5126,67.97457,2523068.0
us_stocks,APC,2012-11-18,Sunday,68.84888,69.29083,3159441.0
us_stocks,APC,2012-11-25,Sunday,71.058647,71.34688,3629696.0
us_stocks,APC,2012-12-02,Sunday,71.049037,70.89532,3105172.0
us_stocks,APC,2012-12-09,Sunday,73.69116,72.82647,3052980.0
us_stocks,APC,2012-12-16,Sunday,71.88491,71.94255,2168876.0
us_stocks,APC,2012-12-23,Sunday,72.47098,71.7504,1303768.0
us_stocks,APC,2012-12-30,Sunday,69.22358,71.39492,3310501.0
us_stocks,APC,2013-01-06,Sunday,74.68076,75.18036,2744404.0
us_stocks,APC,2013-01-13,Sunday,74.83448,74.81527,1995914.0
us_stocks,APC,2013-01-27,Sunday,78.53345,76.29486,3933506.0
us_stocks,APC,2013-02-03,Sunday,77.52464,77.34209,3198315.0
us_stocks,APC,2013-02-10,Sunday,80.68558,80.19558,1962625.0
us_stocks,APC,2013-02-24,Sunday,79.052264,75.4878,3865033.0
us_stocks,APC,2013-03-03,Sunday,76.94817,77.18837,3423121.0
us_stocks,APC,2013-03-10,Sunday,79.94578,80.30127,2354461.0
us_stocks,APC,2013-03-17,Sunday,81.12753,81.30047,2847149.0
us_stocks,APC,2013-03-24,Sunday,83.44299,83.86573,3127460.0
us_stocks,APC,2013-03-31,Sunday,83.74083,82.97221,2936710.0
us_stocks,APC,2013-04-07,Sunday,81.40616,83.15476,2612072.0
us_stocks,APC,2013-04-14,Sunday,80.50303,76.3525,7224907.0
us_stocks,APC,2013-04-21,Sunday,77.12111,77.87052,2553261.0
us_stocks,APC,2013-04-28,Sunday,81.11792,81.19479,1804254.0
us_stocks,APC,2013-05-05,Sunday,83.58711,84.18279,3348268.0
us_stocks,APC,2013-05-12,Sunday,82.62633,83.40456,1768279.0
us_stocks,APC,2013-05-19,Sunday,86.36373,87.65117,3481270.0
us_stocks,APC,2013-06-02,Sunday,84.40376,85.076305,3049615.0
