class,tf,symbol,ts,action,field,was,now
crypto,4h,BTC_USD,2023-07-23 20:00:00,clamp_wick,Low,3.0058,30083.75
crypto,4h,BTC_USD,2023-07-24 00:00:00,clamp_wick,Low,2.971,29716.01
crypto,4h,BTC_USD,2023-07-24 08:00:00,clamp_wick,Low,2.9275,29269.99
crypto,4h,BTC_USD,2023-07-24 12:00:00,clamp_wick,Low,2.9094,29093.78
crypto,4h,BTC_USD,2023-07-25 16:00:00,clamp_wick,Low,2.9288,29181.5
crypto,4h,BTC_USD,2023-07-26 04:00:00,clamp_wick,Low,2.921,29216.61
crypto,4h,BTC_USD,2023-07-26 08:00:00,clamp_wick,Low,2.923,29175.39
crypto,4h,BTC_USD,2023-07-26 16:00:00,clamp_wick,Low,2.929,29324.01
crypto,4h,BTC_USD,2023-07-26 20:00:00,clamp_wick,Low,9.014,29351.96
crypto,4h,BTC_USD,2023-07-27 00:00:00,clamp_wick,Low,2.934,29351.95
crypto,4h,BTC_USD,2023-07-28 12:00:00,clamp_wick,Low,2.927,29206.58
crypto,4h,BTC_USD,2023-07-31 08:00:00,clamp_wick,Low,2.9398,29373.62
crypto,4h,BTC_USD,2023-08-01 20:00:00,clamp_wick,Low,2.9204,29274.42
crypto,4h,BTC_USD,2023-08-02 16:00:00,clamp_wick,Low,2.9265,29151.56
crypto,4h,BTC_USD,2023-08-03 00:00:00,clamp_wick,Low,2.9197,29182.14
crypto,4h,BTC_USD,2023-08-03 04:00:00,clamp_wick,Low,2.905,29044.17
crypto,4h,BTC_USD,2023-08-04 12:00:00,clamp_wick,Low,2.9218,29167.51
crypto,4h,BTC_USD,2023-08-06 08:00:00,clamp_wick,Low,2.9096,29078.01
crypto,4h,BTC_USD,2023-08-06 12:00:00,clamp_wick,Low,2.902,29012.93
crypto,4h,BTC_USD,2023-08-07 04:00:00,clamp_wick,Low,2.9066,29094.09
crypto,4h,BTC_USD,2023-08-07 16:00:00,clamp_wick,Low,2.9176,28858.45
crypto,4h,BTC_USD,2023-08-08 00:00:00,clamp_wick,Low,2.92,29195.08
crypto,4h,BTC_USD,2023-08-08 08:00:00,clamp_wick,Low,2.935,29187.62
crypto,4h,BTC_USD,2023-08-08 12:00:00,clamp_wick,Low,2.957,29438.63
crypto,4h,BTC_USD,2023-08-08 16:00:00,clamp_wick,Low,2.9636,29535.38
crypto,4h,BTC_USD,2023-08-09 20:00:00,clamp_wick,Low,2.9568,29416.21
crypto,4h,BTC_USD,2023-08-10 12:00:00,clamp_wick,Low,2.9458,29466.0
crypto,4h,BTC_USD,2023-08-15 08:00:00,clamp_wick,Low,2.9376,29366.0
crypto,4h,BTC_USD,2023-08-15 20:00:00,clamp_wick,Low,2.9204,29181.73
crypto,4h,BTC_USD,2023-08-16 04:00:00,clamp_wick,Low,2.917,29197.67
crypto,4h,BTC_USD,2023-08-16 16:00:00,clamp_wick,Low,2.9194,29106.55
crypto,4h,BTC_USD,2023-08-16 20:00:00,clamp_wick,Low,2.8944,28730.51
crypto,4h,BTC_USD,2023-08-17 08:00:00,clamp_wick,Low,2.8533,28545.11
crypto,4h,BTC_USD,2023-08-17 12:00:00,clamp_wick,Low,2.8428,27934.02
crypto,4h,BTC_USD,2023-08-18 12:00:00,clamp_wick,Low,2.6211,26002.0
crypto,4h,BTC_USD,2023-08-18 16:00:00,clamp_wick,Low,2.6044,26001.99
crypto,4h,BTC_USD,2023-08-18 20:00:00,clamp_wick,Low,2.6068,26054.0
crypto,4h,BTC_USD,2023-08-19 04:00:00,clamp_wick,Low,2.5876,25917.99
crypto,4h,BTC_USD,2023-08-20 12:00:00,clamp_wick,Low,2.5998,26106.83
crypto,4h,BTC_USD,2023-08-20 20:00:00,clamp_wick,Low,2.6152,26137.25
crypto,4h,BTC_USD,2023-08-21 00:00:00,clamp_wick,Low,2.614,26090.66
crypto,4h,BTC_USD,2023-08-21 12:00:00,clamp_wick,Low,2.6062,25939.59
crypto,4h,BTC_USD,2023-08-21 20:00:00,clamp_wick,Low,2.6124,26097.73
crypto,4h,BTC_USD,2023-08-25 00:00:00,clamp_wick,Low,2.6092,26106.0
crypto,4h,BTC_USD,2023-08-25 16:00:00,clamp_wick,Low,2.5972,25932.01
crypto,4h,BTC_USD,2023-08-26 12:00:00,clamp_wick,Low,2.6076,26045.86
crypto,4h,BTC_USD,2023-09-02 16:00:00,clamp_wick,Low,2.58,25833.39
crypto,4h,BTC_USD,2023-09-03 16:00:00,clamp_wick,Low,2.5865,25873.5
crypto,4h,BTC_USD,2023-09-05 16:00:00,clamp_wick,Low,2.5735,25683.93
crypto,4h,BTC_USD,2023-09-07 04:00:00,clamp_wick,Low,2.581,25762.89
crypto,4h,BTC_USD,2023-09-14 12:00:00,clamp_wick,Low,2.6455,26446.15
crypto,4h,DOGE_USD,2025-10-10 20:00:00,clamp_wick,Low,0.095,0.19349
crypto,4h,DOGE_USD,2023-12-13 12:00:00,clamp_wick,High,0.9998,0.09305
crypto,4h,DOT_USD,2023-06-07 20:00:00,clamp_wick,Low,0.0005,5.023
crypto,4h,DOT_USD,2023-06-08 00:00:00,clamp_wick,Low,0.0005,5.007
crypto,4h,DOT_USD,2023-06-08 08:00:00,clamp_wick,Low,0.0005,5.012
crypto,4h,DOT_USD,2023-06-09 08:00:00,clamp_wick,Low,0.0005,4.989
crypto,4h,DOT_USD,2023-07-29 08:00:00,clamp_wick,Low,0.00022235,5.227
crypto,4h,DOT_USD,2025-10-10 20:00:00,clamp_wick,Low,0.633,2.946
crypto,4h,ETC_USD,2025-10-10 20:00:00,clamp_wick,Low,7.0,14.38
crypto,4h,ETH_USD,2023-11-13 16:00:00,clamp_wick,Low,1.795,2100.0
crypto,4h,ETH_USD,2023-12-19 12:00:00,clamp_wick,Low,0.74859,2191.38
crypto,4h,FIL_USD,2023-11-13 20:00:00,drop_bar,,5.012,
crypto,4h,FIL_USD,2023-11-27 00:00:00,clamp_wick,Low,1.43,4.536
crypto,4h,FIL_USD,2025-10-10 20:00:00,clamp_wick,Low,0.32,1.685
crypto,4h,GRT_USD,2023-12-13 12:00:00,clamp_wick,Low,0.0001191,0.1523
crypto,4h,GRT_USD,2025-10-10 20:00:00,clamp_wick,Low,0.03,0.0608
crypto,4h,GRT_USD,2023-12-12 08:00:00,clamp_wick,High,2.56,0.1646
crypto,4h,GRT_USD,2023-12-13 12:00:00,clamp_wick,High,0.605,0.1576
