symbol,us_quote,us_history_bars,has_us_listing,resolves_to,resolves_exchange
IT,195.78999,,True,,
ITT,205.98,,True,,
ITW,281.64999,,True,,
IVZ,32.72,,True,,
J,150.87,,True,,
JBHT,262.17999,,True,,
JBL,308.67999,,True,,
JCI,141.82001,,True,,
JEF,52.45,,True,,
JKHY,173.62,,True,,
JNJ,273.14001,,True,,
JNPR,,0.0,False,Juniper Green Energy Ltd.,BSE
JOY,,0.0,False,Journey Energy Inc.,TSX
JPM,356.69,,True,,
K,,0.0,False,Kinross Gold Corporation,TSX
KBH,57.11,,True,,
KDP,31.84,,True,,
KEY,21.89,,True,,
KEYS,320.12,,True,,
KG,7.5118,,True,,
KHC,25.32,,True,,
KIM,24.059999,,True,,
KKR,107.58,,True,,
KLAC,183.34,,True,,
KMB,111.019997,,True,,
KMI,30.94,,True,,
KMX,64.22,,True,,
KO,91.64,,True,,
KR,58.45,,True,,
KSE,,0.0,False,Kse Ltd.,BSE
KSS,17.68,,True,,
KVUE,19.33,,True,,
L,110.81,,True,,
LDOS,134.53999,,True,,
LEG,9.32,,True,,
LEH,,0.0,False,Lehner Investments AG,FSX
LEN,87.68,,True,,
LH,337.67999,,True,,
LHX,262.17001,,True,,
LIFE,38.56,,True,,
LII,389.059998,,True,,
LIN,487.20001,,True,,
LITE,885.565,,True,,
LKQ,25.37,,True,,
LLL,,0.0,False,Lanebury Growth Capital Ltd.,CSE
LLY,1233.66003,,True,,
LMT,556.52002,,True,,
LNC,42.61,,True,,
LNT,68.34,,True,,
LOW,214.60001,,True,,
LRCX,314.66,,True,,
LSI,,0.0,False,CK Life Sciences International (Holdings) Inc.,FSX
LULU,118.33,,True,,
LUMN,5.89,,True,,
LUV,40.82,,True,,
LVS,47.27,,True,,
LW,55.36,,True,,
LYB,62.55,,True,,
LYV,186.77,,True,,
M,22.59,,True,,
MA,599.37,,True,,
MAA,131.98,,True,,
MAC,24.26,,True,,
MAR,357.76999,,True,,
MAS,72.92,,True,,
MAT,15.26,,True,,
MBC,9.05,,True,,
MBI,4.9,,True,,
MCD,268.10001,,True,,
MCHP,73.5,,True,,
MCK,905.090027,,True,,
MCO,513.10999,,True,,
MDLZ,62.99,,True,,
MDP,,0.0,False,Medexus Pharmaceuticals Inc.,TSX
MDT,91.14,,True,,
MET,95.87,,True,,
META,570.049988,,True,,
MFE,,0.0,False,Amundi MSCI EMU UCITS ETF Dist,Euronext
MGM,43.34,,True,,
MHK,133.77,,True,,
MI,2.8,,True,,
MIL,,0.0,False,Medico Intercontinental Ltd.,BSE
MKC,54.48,,True,,
MKTX,162.5,,True,,
MLM,531.73999,,True,,
MMI,32.4,,True,,
MMM,179.37,,True,,
MNK,,0.0,False,Minerals Technologies Inc.,FSX
MNST,48.73,,True,,
MO,68.07,,True,,
MOH,199.63,,True,,
MON,,0.0,False,Montero Mining & Exploration Ltd.,TSXV
MOS,24.27,,True,,
MPC,354.88,,True,,
MPWR,1304.15002,,True,,
MRK,156.45,,True,,
MRNA,158.83,,True,,
MRO,,0.0,False,Melrose Industries PLC,LSE
MRSH,193.39999,,True,,
MRVL,240.38,,True,,
MS,216.77,,True,,
MSCI,563.98999,,True,,
MSFT,491.70999,,True,,
MSI,485.39001,,True,,
MTB,240.41,,True,,
MTCH,42.18,,True,,
MTD,1402.25,,True,,
MU,932.96997,,True,,
MUR,34.62,,True,,
NAVI,9.49,,True,,
NBL,,0.0,False,Naapbooks Ltd.,BSE
NBR,87.72,,True,,
NCLH,17.26,,True,,
NDAQ,98.73,,True,,
NDSN,333.57999,,True,,
NE,45.86,,True,,
NEE,84.22,,True,,
NEM,135.14,,True,,
NFLX,82.23,,True,,
NFX,28.35,,True,,
NI,40.65,,True,,
NKE,39.48,,True,,
NKTR,74.96,,True,,
NOC,542.52002,,True,,
NOV,19.94,,True,,
NOW,127.0,,True,,
NRG,113.61,,True,,
NSC,351.23999,,True,,
NTAP,187.42999,,True,,
NTRS,186.82001,,True,,
NUE,247.55,,True,,
NVDA,213.050003,,True,,
NVR,6433.74023,,True,,
NWL,5.93,,True,,
NWS,35.15,,True,,
NWSA,30.92,,True,,
NXPI,224.75,,True,,
NYT,68.61,,True,,
O,62.83,,True,,
ODFL,198.34,,True,,
OGN,13.75,,True,,
OI,7.51,,True,,
OKE,91.7,,True,,
OMC,88.2,,True,,
ON,72.51,,True,,
ORCL,144.75999,,True,,
ORLY,90.32,,True,,
OTIS,71.46,,True,,
OXY,58.41,,True,,
PANW,339.89999,,True,,
PAYC,231.7,,True,,
PAYX,124.99,,True,,
PBI,17.08,,True,,
PCAR,129.22,,True,,
PCG,18.36,,True,,
PCL,48.258,,True,,
PCS,49.8601,,True,,
PEG,73.28,,True,,
PENN,17.75,,True,,
PEP,142.27,,True,,
PFE,28.57,,True,,
PFG,111.59,,True,,
PG,145.39999,,True,,
PGN,,0.0,False,paragon GmbH & Co. KGaA,FSX
PGR,222.089996,,True,,
PH,1016.31,,True,,
PHM,130.86,,True,,
PKG,246.53999,,True,,
PLD,143.33,,True,,
PLL,,0.0,False,"Prudential Financial, Inc.",FSX
PLTR,172.73,,True,,
PM,193.92,,True,,
PNC,244.11,,True,,
PNR,62.46,,True,,
PNW,97.67,,True,,
PODD,143.050003,,True,,
POM,0.93000001,,True,,
POOL,186.36,,True,,
PPG,113.65,,True,,
PPL,34.99,,True,,
PRGO,14.48,,True,,
PRU,120.15,,True,,
PSA,322.67001,,True,,
PSKY,10.67,,True,,
PSX,236.89999,,True,,
PTC,151.14,,True,,
PVH,74.52,,True,,
PWR,603.78003,,True,,
PYPL,62.27,,True,,
Q,126.62,,True,,
QCOM,160.56,,True,,
QRVO,94.34,,True,,
R,246.17999,,True,,
RCL,292.29001,,True,,
RDC,,0.0,False,Redcare Pharmacy N.V.,XETR
RE,,0.0,False,RE Royalties Ltd.,TSXV
REG,76.72,,True,,
REGN,833.56,,True,,
RF,30.63,,True,,
RHI,44.9,,True,,
RHT,,0.0,False,,
RIG,5.75,,True,,
RJF,174.71001,,True,,
RL,362.60001,,True,,
RMD,236.59,,True,,
ROK,429.39999,,True,,
ROL,36.36,,True,,
ROP,413.37,,True,,
ROST,241.19,,True,,
RRC,40.99,,True,,
RSG,220.96001,,True,,
RSH,,0.0,False,Randstad N.V.,FSX
RTX,210.28,,True,,
RVTY,124.84,,True,,
RX,,0.0,False,Biosyent Inc.,TSXV
S,20.31,,True,,
SAI,,0.0,False,Substrate Artificial Intelligence S.A.,BME
SBAC,187.62,,True,,
SBL,,0.0,False,"Safe Bulkers, Inc. Common Stock",FSX
SBNY,0.14,,True,,
SBUX,105.76,,True,,
SCHW,112.27,,True,,
SE,123.18,,True,,
SEDG,29.88,,True,,
SEE,,0.0,False,Seeing Machines Limited,LSE
SGP,26.6,,True,,
SHLD,65.65,,True,,
SHW,350.45001,,True,,
SIG,84.6,,True,,
SII,137.67,,True,,
SJM,125.45,,True,,
SLB,53.29,,True,,
SLE,3.96,,True,,
SLG,59.83,,True,,
SLM,26.47,,True,,
SLR,,0.0,False,Solitario Resources Corp.,TSX
SMCI,38.46,,True,,
SNA,394.56,,True,,
SNDK,1480.77002,,True,,
SNPS,408.79001,,True,,
SO,89.97,,True,,
SOLS,55.54,,True,,
SOLV,91.61,,True,,
SPG,218.99001,,True,,
SPGI,432.98999,,True,,
SPLS,55.378,,True,,
SPY,765.90997,,True,,
SRE,84.029999,,True,,
STE,236.44,,True,,
STI,7.35,,True,,
STJ,,0.0,False,St. James's Place Plc,LSE
STLD,231.080002,,True,,
STR,,0.0,False,State Street SPDR MSCI Europe Consumer Discretionary UCITS ETF,Euronext
STT,192.95,,True,,
STX,821.66998,,True,,
STZ,135.0099945,,True,,
SUN,74.6,,True,,
SW,49.43,,True,,
SWK,98.46,,True,,
SWKS,65.7,,True,,
SWN,,0.0,False,Southwest Airlines Co.,FSX
SYF,80.77,,True,,
SYK,330.59,,True,,
SYY,83.46,,True,,
T,25.77,,True,,
TAP,42.0099983,,True,,
TDC,27.37,,True,,
TDG,1192.59998,,True,,
TDY,626.90002,,True,,
TE,4.65,,True,,
TECH,72.33,,True,,
TEG,,0.0,False,TAG Immobilien AG,FSX
TEL,201.41,,True,,
TER,366.42999,,True,,
TFC,50.3,,True,,
TFX,140.17999,,True,,
TGNA,,0.0,False,Transgene SA,FSX
TGT,163.47,,True,,
THC,271.88,,True,,
TIE,,0.0,False,Taiheiyo Cement Corporation,FSX
TIF,,0.0,False,Ninepoint Target Income Fund,NEO
TJX,139.48,,True,,
TKO,193.41,,True,,
TMC,4.96,,True,,
TMO,628.15002,,True,,
TMUS,181.61,,True,,
TPL,372.79001,,True,,
TPR,130.12,,True,,
TRB,,0.0,False,Tribal Group plc,LSE
TRGP,286.91,,True,,
TRIP,10.095,,True,,
TRMB,59.43,,True,,
TROW,112.87,,True,,
TRV,369.66,,True,,
TSCO,35.38,,True,,
TSG,,0.0,False,Tristar Gold Inc.,TSXV
TSLA,350.25,,True,,
TSN,57.17,,True,,
TSS,,0.0,False,InnoTec TSS AG,FSX
TT,455.25,,True,,
TTD,13.25,,True,,
TTWO,232.92999,,True,,
TWC,,0.0,False,TWC Enterprises Ltd.,TSX
TXN,260.049988,,True,,
TXT,81.8,,True,,
TYL,350.059998,,True,,
UA,5.0,,True,,
UAA,5.12,,True,,
UAL,117.41,,True,,
UBER,80.35,,True,,
UDR,38.17,,True,,
UHS,175.75999,,True,,
ULTA,537.21997,,True,,
UNH,396.59,,True,,
UNM,89.69,,True,,
UNP,309.59,,True,,
UPS,105.14,,True,,
URBN,75.78,,True,,
URI,1053.14001,,True,,
USB,62.41,,True,,
USL,50.8329,,True,,
V,384.14001,,True,,
VEEV,246.78,,True,,
VFC,13.85,,True,,
VICI,26.29,,True,,
VLO,340.41,,True,,
VLTO,98.77,,True,,
VMC,274.089996,,True,,
VNO,39.94,,True,,
VNT,33.39,,True,,
VRSK,188.49001,,True,,
VRSN,293.75,,True,,
VRT,255.75,,True,,
VRTX,552.84998,,True,,
VST,139.029999,,True,,
VTR,93.83,,True,,
VTRS,16.72,,True,,
VZ,50.25,,True,,
WAB,296.94,,True,,
WAT,414.44,,True,,
WB,7.12,,True,,
WBD,28.9,,True,,
WDAY,194.42,,True,,
WDC,450.75,,True,,
WEC,106.67,,True,,
WELL,241.14999,,True,,
WFC,84.79,,True,,
WFR,,0.0,False,Wolfram Resources PLC,LSE
WHR,40.72,,True,,
WLTW,346.82001,,True,,
WM,222.13,,True,,
WMB,71.080002,,True,,
WMT,105.38,,True,,
WRB,68.48,,True,,
WSM,234.74001,,True,,
WST,348.48001,,True,,
WTW,346.82001,,True,,
WU,7.34,,True,,
WY,24.43,,True,,
WYN,,0.0,False,Wynnstay Group plc,LSE
WYNN,98.74,,True,,
X,,0.0,False,TMX Group Limited,TSX
XEC,,0.0,False,iShares Core MSCI Emerging Markets ETF,TSX
XEL,77.19,,True,,
XL,,0.0,False,Xxl Energy Corp.,TSXV
XOM,160.64,,True,,
XRAY,10.97,,True,,
XRX,2.95,,True,,
XYL,112.81,,True,,
XYZ,82.72,,True,,
YHOO,,0.0,False,IncomeShares Robinhood Options ETP,LSE
YUM,156.27,,True,,
ZBH,100.24,,True,,
ZBRA,360.51999,,True,,
ZION,67.57,,True,,
ZTS,77.29,,True,,
