symbol,start,end,reason_in,start_known
CLF,2011-01-01,2015-01-01,rank,True
CLX,2000-01-01,2001-01-01,rank,True
CMCSA,2004-01-01,,rank,True
CME,2006-01-01,2011-01-01,rank,True
CMG,2012-01-01,,rank,True
CNX,2009-01-01,2013-01-01,rank,True
COF,2000-01-01,2016-01-01,rank,True
COIN,2026-01-01,,rank,True
COP,2005-01-01,2021-01-01,rank,True
COP,2023-01-01,,rank,True
COST,2000-01-01,,rank,True
CPRI,2014-01-01,2016-01-01,rank,True
CRM,2011-01-01,,rank,True
CRWD,2025-01-01,,rank,True
CSCO,2000-01-01,,rank,True
CSX,2008-01-01,2014-01-01,rank,True
CSX,2018-01-01,2021-01-01,rank,True
CVNA,2026-01-01,,rank,True
CVS,2000-01-01,2003-01-01,rank,True
CVS,2008-01-01,2026-01-01,rank,True
CVX,2000-01-01,,rank,True
DAL,2014-01-01,2024-01-01,rank,True
DD,2000-01-01,2018-01-01,rank,True
DD,2020-01-01,2021-01-01,rank,True
DE,2005-01-01,2021-01-01,rank,True
DE,2023-01-01,,rank,True
DELL,2025-01-01,,rank,True
DG,2015-01-01,2018-01-01,rank,True
DHR,2020-01-01,,rank,True
DIS,2000-01-01,,rank,True
DVN,2006-01-01,2014-01-01,rank,True
DVN,2023-01-01,2025-01-01,rank,True
EA,2000-01-01,2011-01-01,rank,True
EA,2019-01-01,2022-01-01,rank,True
EBAY,2000-01-01,2023-01-01,rank,True
ELV,2005-01-01,2014-01-01,rank,True
ELV,2020-01-01,,rank,True
EMR,2000-01-01,2004-01-01,rank,True
ENPH,2023-01-01,2025-01-01,rank,True
EOG,2006-01-01,2020-01-01,rank,True
F,2000-01-01,,rank,True
FCX,2007-01-01,2020-01-01,rank,True
FCX,2022-01-01,,rank,True
FDX,2000-01-01,2025-01-01,rank,True
FFIV,2012-01-01,2015-01-01,rank,True
FIS,2020-01-01,2023-01-01,rank,True
FISV,2003-01-01,2006-01-01,rank,True
FISV,2020-01-01,2023-01-01,rank,True
FITB,2002-01-01,2007-01-01,rank,True
FLR,2009-01-01,2011-01-01,rank,True
FSLR,2008-01-01,2016-01-01,rank,True
GD,2003-01-01,2006-01-01,rank,True
GE,2000-01-01,,rank,True
GEN,2003-01-01,2009-01-01,rank,True
GEV,2025-01-01,,rank,True
GILD,2002-01-01,,rank,True
GLW,2000-01-01,2003-01-01,rank,True
GLW,2007-01-01,2014-01-01,rank,True
GOOG,2006-01-01,,rank,True
GOOGL,2015-01-01,,rank,True
GPS,2000-01-01,2006-01-01,rank,True
GS,2000-01-01,,rank,True
GT,2000-01-01,2001-01-01,rank,True
HAL,2000-01-01,2021-01-01,rank,True
HD,2000-01-01,,rank,True
HIG,2010-01-01,2011-01-01,rank,True
HOOD,2026-01-01,,rank,True
HPQ,2000-01-01,2002-01-01,rank,True
IBM,2000-01-01,,rank,True
ICE,2008-01-01,2011-01-01,rank,True
INTC,2000-01-01,,rank,True
INTU,2001-01-01,2008-01-01,rank,True
INTU,2020-01-01,,rank,True
IP,2000-01-01,2005-01-01,rank,True
ISRG,2009-01-01,2012-01-01,rank,True
ISRG,2014-01-01,2016-01-01,rank,True
ISRG,2019-01-01,,rank,True
JBL,2001-01-01,2003-01-01,rank,True
JCI,2000-01-01,2009-01-01,rank,True
JNJ,2000-01-01,,rank,True
JPM,2000-01-01,,rank,True
KBH,2006-01-01,2008-01-01,rank,True
KMB,2000-01-01,2006-01-01,rank,True
KMI,2016-01-01,2018-01-01,rank,True
KO,2000-01-01,,rank,True
KR,2000-01-01,2004-01-01,rank,True
KR,2017-01-01,2019-01-01,rank,True
KSS,2002-01-01,2011-01-01,rank,True
LEN,2004-01-01,2008-01-01,rank,True
LIN,2021-01-01,,rank,True
LLY,2000-01-01,,rank,True
LMT,2000-01-01,2001-01-01,rank,True
LMT,2003-01-01,2011-01-01,rank,True
LMT,2017-01-01,,rank,True
LOW,2000-01-01,,rank,True
LRCX,2018-01-01,,rank,True
LUV,2000-01-01,2003-01-01,rank,True
LUV,2017-01-01,2020-01-01,rank,True
M,2000-01-01,2001-01-01,rank,True
MA,2008-01-01,,rank,True
MAT,2000-01-01,2001-01-01,rank,True
MCD,2000-01-01,,rank,True
MCHP,2003-01-01,2006-01-01,rank,True
MCK,2000-01-01,2001-01-01,rank,True
MCK,2017-01-01,2019-01-01,rank,True
MDLZ,2013-01-01,2021-01-01,rank,True
MDT,2000-01-01,,rank,True
MET,2013-01-01,2017-01-01,rank,True
META,2013-01-01,,rank,True
MMM,2000-01-01,2024-01-01,rank,True
MO,2000-01-01,2010-01-01,rank,True
MOS,2012-01-01,2015-01-01,rank,True
MPC,2014-01-01,2017-01-01,rank,True
MRK,2000-01-01,,rank,True
MRNA,2022-01-01,2025-01-01,rank,True
MRSH,2000-01-01,2006-01-01,rank,True
MS,2000-01-01,,rank,True
MSFT,2000-01-01,,rank,True
MSI,2000-01-01,2010-01-01,rank,True
MU,2000-01-01,2009-01-01,rank,True
MU,2011-01-01,,rank,True
NBR,2002-01-01,2010-01-01,rank,True
NCLH,2021-01-01,2023-01-01,rank,True
NEE,2020-01-01,,rank,True
NEM,2003-01-01,2015-01-01,rank,True
NFLX,2011-01-01,,rank,True
NKE,2000-01-01,,rank,True
NOC,2003-01-01,2006-01-01,rank,True
NOV,2008-01-01,2017-01-01,rank,True
NOW,2020-01-01,,rank,True
NTAP,2000-01-01,2009-01-01,rank,True
NTAP,2011-01-01,2015-01-01,rank,True
NUE,2007-01-01,2012-01-01,rank,True
NVDA,2001-01-01,2014-01-01,rank,True
NVDA,2017-01-01,,rank,True
OMC,2003-01-01,2005-01-01,rank,True
ORCL,2000-01-01,,rank,True
OXY,2006-01-01,2026-01-01,rank,True
PANW,2024-01-01,,rank,True
PAYX,2000-01-01,2005-01-01,rank,True
PEP,2000-01-01,,rank,True
PFE,2000-01-01,,rank,True
PG,2000-01-01,,rank,True
PHM,2006-01-01,2008-01-01,rank,True
PLTR,2025-01-01,,rank,True
PM,2010-01-01,2021-01-01,rank,True
PNC,2010-01-01,2014-01-01,rank,True
PSKY,2013-01-01,2019-01-01,rank,True
PSKY,2022-01-01,2023-01-01,rank,True
PYPL,2016-01-01,,rank,True
QCOM,2000-01-01,,rank,True
RCL,2021-01-01,2022-01-01,rank,True
REGN,2014-01-01,,rank,True
RIG,2015-01-01,2016-01-01,rank,True
RTX,2000-01-01,,rank,True
SBUX,2001-01-01,,rank,True
SCHW,2000-01-01,2003-01-01,rank,True
SCHW,2009-01-01,2013-01-01,rank,True
SCHW,2019-01-01,,rank,True
SLB,2000-01-01,2021-01-01,rank,True
SMCI,2025-01-01,,rank,True
SPGI,2023-01-01,,rank,True
STT,2009-01-01,2012-01-01,rank,True
T,2000-01-01,,rank,True
TER,2000-01-01,2006-01-01,rank,True
TGT,2000-01-01,,rank,True
THC,2002-01-01,2005-01-01,rank,True
TJX,2000-01-01,2003-01-01,rank,True
TMO,2015-01-01,,rank,True
TMUS,2021-01-01,,rank,True
TRV,2010-01-01,2013-01-01,rank,True
TSLA,2021-01-01,,rank,True
TXN,2000-01-01,,rank,True
UAL,2016-01-01,2020-01-01,rank,True
UAL,2021-01-01,2024-01-01,rank,True
UBER,2024-01-01,,rank,True
UNH,2000-01-01,,rank,True
UNP,2008-01-01,,rank,True
UPS,2005-01-01,2017-01-01,rank,True
USB,2009-01-01,2020-01-01,rank,True
V,2010-01-01,,rank,True
VLO,2005-01-01,2011-01-01,rank,True
VLO,2014-01-01,2018-01-01,rank,True
VRSN,2000-01-01,2007-01-01,rank,True
VRTX,2021-01-01,,rank,True
VTRS,2016-01-01,2017-01-01,rank,True
VZ,2000-01-01,,rank,True
WAT,2001-01-01,2003-01-01,rank,True
WDC,2018-01-01,2021-01-01,rank,True
WFC,2000-01-01,,rank,True
WM,2000-01-01,2001-01-01,rank,True
WMT,2000-01-01,,rank,True
WYNN,2012-01-01,2020-01-01,rank,True
XOM,2000-01-01,,rank,True
YUM,2013-01-01,2018-01-01,rank,True
ZBH,2005-01-01,2009-01-01,rank,True
