class,tf,rule,symbol,ir,ir_gross,cagr,bench_cagr,excess_cagr,max_dd,bench_dd,mar,bench_mar,vol,bench_vol,long_frac,turnover_yr,years,spread_bps,in_bps,out_bps,t_years,n_years,years_positive
us_stocks,1d,ibs,UNH,-0.5253323585929992,-0.5110600864026732,0.07420918140452049,0.17791136278773045,-0.10370218138320997,-0.718937752104635,-0.7441111730852215,0.10322059342033273,0.23909244911627558,0.2469908894355257,0.33289193888795904,0.459375,48.623181331547976,40.433388893137035,0.8682274798840696,10.390671533606907,9.522444053722838,0.6535126696596364,36,0.5833333333333334
us_stocks,1d,ibs,V,0.18468892158749012,0.20653482025713504,0.2777524861062981,0.217220364746745,0.060532121359553104,-0.2760137205741192,-0.36364911348809725,1.0062995619513486,0.5973350592365873,0.18877574799291963,0.2592673611078256,0.452962460425147,60.36133214595297,17.57747820135107,26.085831078980185,23.42584934476405,-2.6599817342161347,4.463651907092348,18,0.9444444444444444
us_stocks,1d,ibs,PG,-0.022739451993703072,0.001707467163578997,0.10027951774418375,0.09159782682966244,0.008681690914521312,-0.5469152407561564,-0.5422754536033203,0.1833547692061733,0.1689138356180642,0.16013104571775025,0.21971346406159048,0.46250647716337256,56.910066761504844,53.57575862241664,9.652342040665147,9.633408503566319,-0.018933537098828813,3.053528120521211,54,0.6481481481481481
us_stocks,1d,ibs,HD,-0.4079621925460721,-0.39209941052449554,0.1542197880474585,0.23417104582893256,-0.07995125778147405,-0.6588924712210228,-0.7058316961887465,0.23405911401850896,0.33176612369971104,0.26558309715975836,0.3499955638970066,0.4738762794837561,55.45153244744544,44.57947131294982,8.551142253497785,15.295483341145227,6.744341087647441,1.774503599285451,44,0.6136363636363636
us_stocks,1d,ibs,MA,0.07029227219331764,0.08678630856650117,0.2906056719235117,0.23657317717828508,0.054032494745226645,-0.31904815280591214,-0.6266535593150548,0.9108520747346155,0.3775182852816864,0.22024767640595982,0.31889786458942143,0.4285424279334145,59.02159693947649,19.586050868556075,27.6427029390134,26.25169749265575,-1.3910054463576516,3.5527850997430477,20,0.75
us_stocks,1d,ibs,CVX,-0.08648492217471013,-0.06690887579798507,0.09564086507166558,0.09335832740107208,0.0022825376705934985,-0.5827819135088506,-0.5824090671049211,0.16411090127321376,0.16029683031059946,0.18605928843171823,0.26852069335376827,0.4463360473723168,58.57103519824967,53.57596957913723,9.060312149709379,9.987495704160594,0.9271835544512148,2.9657450857785768,54,0.6666666666666666
us_stocks,1d,ibs,ABBV,-0.2634241175220244,-0.24580638363929083,0.1379132636317717,0.1752793005968991,-0.037366036965127414,-0.33172457659036414,-0.45137133803929796,0.4157462948609813,0.3883261647899289,0.17679817392150976,0.26484077798491135,0.44058154235145386,53.50040046770118,12.579345091188578,9.961157564828955,13.404081916110373,3.442924351281419,1.2981075016735046,13,0.7692307692307693
us_stocks,1d,ibs,PEP,-0.008385438658040815,0.012617809513994849,0.12413373512500558,0.10844173247784572,0.015692002647159864,-0.638623200607553,-0.6697601359604566,0.19437711471633226,0.16191129727710196,0.16687576083159417,0.242631270570503,0.45910133984750906,57.28605989565016,53.59069912631765,11.793214263652477,11.63037534797877,-0.16283891567370637,3.429728104295528,54,0.6666666666666666
us_stocks,1d,ibs,KO,0.06623614737885787,0.08980359334310221,0.12112823997866173,0.09381578031688687,0.02731245966177487,-0.666181624764645,-0.6906354162674955,0.1818246488282457,0.1358398050651812,0.16796823511502393,0.23584706631577382,0.4499962987637871,60.53110741474589,53.57575862241664,12.741653606357385,11.671159086515532,-1.070494519841855,4.448296737846606,54,0.7592592592592593
us_stocks,1d,ibs,WMT,-0.3602009090955303,-0.34172817867065564,0.12066634785055208,0.18251831577421962,-0.06185196792366754,-0.8889945173642123,-0.7689646002196188,0.1357335118424766,0.2373559403411962,0.20096793899943488,0.29110056625948993,0.46568954030646237,59.70598155014716,53.59597006729241,6.416484509312797,11.759908308279268,5.343423798966471,1.7188926460255616,54,0.6481481481481481
