engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades,ref_equity,ref_trades,rel_error,trade_diff
manifoldbt,next_open,UNH,BBANDS_DIP,2848,16381.262591851524,0.6381262591851524,168,16717.445325303957,168,0.020109695405647776,0
manifoldbt,next_open,V,SMA_CROSS,2848,28411.36345276377,1.8411363452763765,59,28484.033061133294,59,0.002551240135607147,0
manifoldbt,next_open,V,RSI_TREND,2848,14813.898062508066,0.4813898062508066,323,15303.872143913712,323,0.03201634702629863,0
manifoldbt,next_open,V,MACD_CROSS,2848,13336.97742566406,0.333697742566406,242,13375.948002487074,242,0.002913481483014735,0
manifoldbt,next_open,V,CCI_ZERO,2848,17577.853219976016,0.7577853219976016,301,17981.3705436131,301,0.022440854697831192,0
manifoldbt,next_open,V,BBANDS_DIP,2848,17101.105682364887,0.7101105682364888,128,17386.60917114941,128,0.01642088379476969,0
manifoldbt,next_open,PG,SMA_CROSS,2848,13588.457775694003,0.3588457775694003,67,13608.37803784533,67,0.0014638233958468305,0
manifoldbt,next_open,PG,RSI_TREND,2848,15067.061608403465,0.5067061608403463,331,15267.656368956305,331,0.01313854305502371,0
manifoldbt,next_open,PG,MACD_CROSS,2848,13834.282925543615,0.3834282925543617,248,13980.91573201142,248,0.01048806882742781,0
manifoldbt,next_open,PG,CCI_ZERO,2848,11063.205696474131,0.1063205696474132,311,11179.354791041744,311,0.01038960626427965,0
manifoldbt,next_open,PG,BBANDS_DIP,2848,10451.178757573403,0.0451178757573402,154,10547.729045959026,154,0.00915365648519495,0
manifoldbt,next_open,HD,SMA_CROSS,2848,17314.187299587677,0.7314187299587676,61,17345.51334898047,61,0.0018060030142972305,0
manifoldbt,next_open,HD,RSI_TREND,2848,20410.133066742477,1.0410133066742473,329,21058.16064126646,329,0.030773227802910696,0
manifoldbt,next_open,HD,MACD_CROSS,2848,37742.66927424888,2.7742669274248883,220,38472.89214513391,220,0.01898019177062027,0
manifoldbt,next_open,HD,CCI_ZERO,2848,24895.106787826317,1.489510678782631,266,25500.802376064792,266,0.023752020791588335,0
manifoldbt,next_open,HD,BBANDS_DIP,2848,10867.500799254398,0.0867500799254397,142,10970.896204403263,142,0.00942451767134278,0
manifoldbt,next_open,MA,SMA_CROSS,2848,28672.134363616653,1.8672134363616653,59,28551.072957414173,59,0.004240170111401875,0
manifoldbt,next_open,MA,RSI_TREND,2848,13493.628694500512,0.3493628694500512,345,14008.955615639634,345,0.03678553457359868,0
manifoldbt,next_open,MA,MACD_CROSS,2848,13951.564251515,0.3951564251515,260,14085.19222183636,260,0.009487124365558652,0
manifoldbt,next_open,MA,CCI_ZERO,2848,23397.97435938477,1.3397974359384772,291,23916.82757729166,291,0.021694065244653338,0
manifoldbt,next_open,MA,BBANDS_DIP,2848,14075.638684721527,0.407563868472153,140,14153.593753515566,140,0.00550779329629103,0
manifoldbt,next_open,CVX,SMA_CROSS,2848,10083.216256568832,0.0083216256568832,66,10105.984393816892,66,0.002252936117929316,0
manifoldbt,next_open,CVX,RSI_TREND,2848,13179.459824941625,0.3179459824941624,337,13558.399336996386,337,0.027948690891612893,0
manifoldbt,next_open,CVX,MACD_CROSS,2848,21906.902688798666,1.1906902688798664,233,22115.143454101544,233,0.009416206850978326,0
manifoldbt,next_open,CVX,CCI_ZERO,2848,15553.887356384068,0.5553887356384068,331,15645.354554657535,331,0.005846284784018385,0
manifoldbt,next_open,CVX,BBANDS_DIP,2848,9816.423297232966,-0.0183576702767033,150,9957.77591322031,150,0.01419519953242554,0
manifoldbt,next_open,ABBV,SMA_CROSS,2848,15720.72426588294,0.5720724265882939,71,16088.194350311447,71,0.022840977453842948,0
manifoldbt,next_open,ABBV,RSI_TREND,2848,28948.97687032357,1.8948976870323573,293,29475.916514809905,293,0.017876955385647708,0
manifoldbt,next_open,ABBV,MACD_CROSS,2848,17941.318712419117,0.7941318712419116,236,18199.63010369448,236,0.01419322204921769,0
manifoldbt,next_open,ABBV,CCI_ZERO,2848,26537.482677908127,1.6537482677908129,249,26634.097190184715,249,0.003627474646003548,0
manifoldbt,next_open,ABBV,BBANDS_DIP,2848,11048.05786806084,0.1048057868060841,142,11285.025508934108,142,0.020998414286761413,0
manifoldbt,next_open,PEP,SMA_CROSS,2848,7123.799303613198,-0.2876200696386801,72,7135.080322474402,72,0.0015810640317068803,0
manifoldbt,next_open,PEP,RSI_TREND,2848,10397.737995918304,0.0397737995918303,337,10603.845225061792,337,0.019437027301790644,0
manifoldbt,next_open,PEP,MACD_CROSS,2848,17636.017535365325,0.7636017535365325,229,18003.84978969149,229,0.020430755567443892,0
manifoldbt,next_open,PEP,CCI_ZERO,2848,14291.597833040949,0.4291597833040947,289,14560.16089365465,289,0.018445061326948786,0
manifoldbt,next_open,PEP,BBANDS_DIP,2848,11620.88125991554,0.1620881259915541,164,11696.816224111475,164,0.006491934449598724,0
manifoldbt,next_open,KO,SMA_CROSS,2848,13459.458131367672,0.3459458131367672,69,13468.980171081595,69,0.00070696070474352,0
manifoldbt,next_open,KO,RSI_TREND,2848,15295.662674231278,0.5295662674231278,341,15446.075533454048,341,0.009737933683996114,0
manifoldbt,next_open,KO,MACD_CROSS,2848,16246.134389969524,0.6246134389969524,238,16433.130719701752,238,0.011379227301346662,0
manifoldbt,next_open,KO,CCI_ZERO,2848,15263.1840312427,0.52631840312427,307,15345.113211980972,307,0.005339105655753906,0
manifoldbt,next_open,KO,BBANDS_DIP,2848,9970.227119186304,-0.0029772880813696,142,10078.788219998998,142,0.01077124535638918,0
manifoldbt,next_open,WMT,SMA_CROSS,2848,21014.28721312467,1.101428721312467,58,21036.557437007945,58,0.0010586439321149665,0
manifoldbt,next_open,WMT,RSI_TREND,2848,14968.942003516908,0.4968942003516907,332,15154.086452854724,332,0.012217460281344739,0
manifoldbt,next_open,WMT,MACD_CROSS,2848,17427.106556057697,0.7427106556057697,231,17804.68914439758,231,0.021206918316722945,0
manifoldbt,next_open,WMT,CCI_ZERO,2848,14221.357639528806,0.4221357639528806,290,14513.917147431406,290,0.020157170867850516,0
manifoldbt,next_open,WMT,BBANDS_DIP,2848,13136.223692865637,0.3136223692865636,142,13307.549696171303,142,0.012874346308468732,0
manifoldbt_batch,at_close,AAPL,SMA_CROSS,2848,43403.23300958048,3.3403233009580475,69,43403.23300958048,69,0.0,0
manifoldbt_batch,at_close,AAPL,RSI_TREND,2848,91659.48094997655,8.165948094997656,259,91659.48094997655,259,0.0,0
manifoldbt_batch,at_close,AAPL,MACD_CROSS,2848,94385.82564509189,8.438582564509186,201,94385.82564509189,201,0.0,0
manifoldbt_batch,at_close,AAPL,CCI_ZERO,2848,121342.45060283308,11.134245060283307,213,121342.45060283308,213,0.0,0
manifoldbt_batch,at_close,AAPL,BBANDS_DIP,2848,12378.241809206198,0.2378241809206198,126,12378.241809206198,126,0.0,0
