class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,5m,KO,AVGDEV,vector-reference,retail,128107,False,2965.336711401049,2965.336711402335,4.336861656761897e-13,True,,,,
us_stocks,5m,KO,AVGDEV,vector-reference,wide,128107,False,302.9752262945601,302.97522629425737,9.992501781601996e-13,True,,,,
us_stocks,5m,KO,AVGDEV,vector-reference,pessimistic,128107,False,1.0091079754017331,1.0091079754018093,7.547388519941053e-14,True,,,,
us_stocks,5m,KO,AVGDEV,vector-nautilus,gross,20000,True,12748.894950266516,12748.76,1.0585252058520545e-05,True,13078.0,0.1349502665161708,1.7153862538798659,17.78801060002297
us_stocks,5m,PG,CDLEVENINGDOJISTAR,vector-reference,gross,128057,False,9803.532152762293,9803.532152762238,5.566328671753289e-15,True,,,,
us_stocks,5m,PG,CDLEVENINGDOJISTAR,vector-reference,retail,128057,False,9534.82390490731,9534.8239049075,1.9840418643851643e-14,True,,,,
us_stocks,5m,PG,CDLEVENINGDOJISTAR,vector-reference,wide,128057,False,9134.180961368236,9134.180961368453,2.369777213057619e-14,True,,,,
us_stocks,5m,PG,CDLEVENINGDOJISTAR,vector-reference,pessimistic,128057,False,8204.531839513895,8204.531839513978,1.019845058801869e-14,True,,,,
us_stocks,5m,PG,CDLEVENINGDOJISTAR,vector-nautilus,gross,20000,True,10126.3608350709,10126.39,2.8800997292476656e-06,True,183.0,0.029164929099351866,0.20291623887703022,0.996094899950549
us_stocks,1m,PG,RSI,vector-reference,gross,619366,False,845.5921365730716,845.5921365730584,1.5595785018949328e-14,True,,,,
us_stocks,1m,PG,RSI,vector-reference,retail,619366,False,0.04897947138403836,0.04897947138403239,1.2183571175301906e-13,True,,,,
us_stocks,1m,PG,RSI,vector-reference,wide,619366,False,1.3284351809464675e-08,1.3284351809432982e-08,2.385709023970018e-12,True,,,,
us_stocks,1m,PG,RSI,vector-reference,pessimistic,619366,False,5.023033411907152e-25,5.023033411923951e-25,1.6799467312181332e-24,True,,,,
us_stocks,1m,PG,RSI,vector-nautilus,gross,20000,True,8289.440114845673,8288.76,8.204593268663331e-05,True,11775.0,0.6801148456725059,1.6276900810658028,20.15923190000467
us_stocks,1m,UNH,MIN,vector-reference,gross,612547,False,4311.560375974543,4311.56037597475,4.809506858809717e-14,True,,,,
us_stocks,1m,UNH,MIN,vector-reference,retail,612547,False,440.8804965819379,440.8804965815205,9.467445893645563e-13,True,,,,
us_stocks,1m,UNH,MIN,vector-reference,wide,612547,False,12.942491011695322,12.942491011611036,6.51237505956829e-12,True,,,,
