sheet,symbol,rule,ir,vs_random,xcagr,cagr,bench_cagr,long,years,fold_win,n_scored,t_folds,ceil_strategy,ceil_strategy_and_asset,best_xcagr_rule,best_xcagr,beats_own_bar,beats_lenient_bar
us_stocks_1d,V,ibs,0.1846889215874901,0.875441297868453,0.060532121359553104,0.2777524861062981,0.217220364746745,0.452962460425147,17.57747820135107,0.5555555555555556,18,0.5130726749483336,0.42189715154875845,0.6866445780392554,ibs,0.060532121359553104,False,False
us_stocks_1d,XOM,ibs,0.1543585413505232,0.49651940678454765,0.04599993582753692,0.14397943719953954,0.09797950137200262,0.4567325486712562,53.57575862241664,0.5,54,0.48160050814937366,0.24165774166477386,0.3933019633960511,ibs,0.04599993582753692,False,False
us_stocks_1d,MA,ibs,0.0702922721933176,0.7146527968295336,0.054032494745226645,0.2906056719235117,0.23657317717828508,0.4285424279334145,19.586050868556075,0.5,20,-0.716264028160338,0.39967909948849034,0.6504843315768806,ibs,0.054032494745226645,False,False
us_stocks_1d,KO,ibs,0.0662361473788578,0.447359800060458,0.02731245966177487,0.12112823997866173,0.09381578031688687,0.4499962987637871,53.57575862241664,0.5370370370370371,54,-0.20575744310463645,0.24165774166477386,0.3933019633960511,ibs,0.02731245966177487,False,False
us_stocks_1d,MSFT,ibs,-0.0075375080738036,0.6023793169421751,0.03055220953087967,0.26024732610762635,0.22969511657674668,0.453916357436566,39.58049055312335,0.55,40,0.25522699009006683,0.28115401578592203,0.4575828014592688,ibs,0.03055220953087967,False,False
us_stocks_1d,PEP,ibs,-0.0083854386580408,0.3689199601446459,0.015692002647159864,0.12413373512500558,0.10844173247784572,0.459101339847509,53.59069912631765,0.5,54,-0.40811232351413473,0.24162405354195382,0.3932471354201006,ibs,0.015692002647159864,False,False
us_stocks_1d,PG,ibs,-0.022739451993703,0.32315437987480994,0.008681690914521312,0.10027951774418375,0.09159782682966244,0.4625064771633725,53.57575862241664,0.5,54,-0.9047679690441389,0.24165774166477386,0.3933019633960511,ibs,0.008681690914521312,False,False
us_stocks_1d,JPM,ibs,-0.0573375956749982,0.31521501499563614,0.017797437961992957,0.13425375721506572,0.11645631925307276,0.4674494081710577,41.583289083403606,0.42857142857142855,42,-1.4716405008930582,0.27429977952710627,0.4464274188110596,ibs,0.017797437961992957,False,False
us_stocks_1d,AAPL,volmanaged,-0.086477936181645,-0.086477936181645,0.01974195626758468,0.22357921678085035,0.20383726051326567,1.0,44.58319006747153,0.35555555555555557,41,-1.6978351168766892,0.2649105821680495,0.4311463451297841,volmanaged,0.01974195626758468,False,False
us_stocks_1d,CVX,ibs,-0.0864849221747101,0.2533494784992134,0.0022825376705934985,0.09564086507166558,0.09335832740107208,0.4463360473723168,53.57596957913723,0.4444444444444444,54,-1.3106432071157723,0.24165726589760372,0.39330118907712863,ibs,0.0022825376705934985,False,False
us_stocks_1d,META,ibs,-0.1235795981344186,0.44126307362547673,0.003607960940844368,0.2604964132129135,0.25688845227206913,0.4593091334894613,13.5914945737361,0.5,14,-0.6821454747278664,0.4797900853406054,0.7808662833743842,ibs,0.003607960940844368,False,False
