ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-10.322464502361758,0.0,0.3142015200080706,0.15921124487282828,-16.737254218516423,,DOGE/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,DIV,coinbase,-7.584083156560732,-100000.0,-0.9999618645396492,-10.589087805446537,-1.0,0.9986010633503776,1657.7892363764847,51885,False,True,True
-10.394556740413858,0.0,0.32577263704202875,0.16352105488377822,-16.854147438656216,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,SUB,coinbase,-7.655609316494887,-100000.0,-0.9999615958561904,-10.594031654082233,-1.0,0.9985941087638277,1662.9957572819822,52047,False,True,True
-10.398667090669639,0.0,0.32129761286710246,0.1612764222676887,-16.86081212393001,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,TRANGE,coinbase,-7.662892440967852,-100000.0,-0.9999618899539137,-10.60617360872673,-1.0,0.9985204805191106,1662.7915214503034,52041,False,True,True
-10.567971267787977,0.0,-0.20308744011839214,0.0,-17.135328645835997,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,STOCHF,coinbase,-8.346306049154382,-100000.0,-0.9999943221218063,-10.825750193857248,-1.0,0.9995582305316983,1837.9623115399747,57577,False,False,True
-12.268633352998396,0.0,0.09857136322866164,0.03879884596639898,-19.892849744934612,,DOGE/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,BOP,coinbase,-10.3314130060685,-100000.0,-0.9999997181262075,-13.200950441059913,-1.0,0.9916267910246266,2304.8293106657547,73344,False,False,True
-12.777663772288012,0.0,-0.07324586304837152,0.0,-20.71821189858106,,AVAX/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,AVGPRICE,coinbase,-10.700195764207237,-100000.0,-0.999999801209141,-13.607115184142424,-1.0,0.9977558777907362,2337.4002540866995,73565,False,False,True
-13.144509692306652,0.0,-0.19908991366485962,0.0,-21.313030453875943,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,TYPPRICE,coinbase,-11.059417679330219,-100000.0,-0.9999998205918385,-13.967033178285089,-1.0,0.995697864361904,2331.6186580849944,73643,False,False,True
-13.147234236886394,0.0,-0.19852562489283407,0.0,-21.31744813874668,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,MEDPRICE,coinbase,-11.058673681500588,-100000.0,-0.9999998207664319,-13.968019629811959,-1.0,0.9955628177724837,2331.796011496167,73669,False,False,True
-13.147234236886394,0.0,-0.19852562489283407,0.0,-21.31744813874668,,ADA/USD,10,10,2.6290668491900524,False,False,False,False,0,False,crypto,4h,WCLPRICE,coinbase,-11.058673681500588,-100000.0,-0.9999998207664319,-13.968019629811959,-1.0,0.9955628177724837,2331.796011496167,73669,False,False,True
0.6109146680181096,0.8,0.6109146680181096,0.5768614311301108,0.9905613240036037,0.8064181142582533,AVAX/USD,10,10,2.6290668491900524,True,True,False,False,2,True,crypto,4h,HT_PHASOR,gross,-0.3171004873844824,5676426.762429267,0.36838162011083114,0.7528158160679758,-0.8483835475660175,0.997643896169057,949.8808445172295,29779,False,False,True
0.5071755602758995,0.8,0.5071755602758994,0.3687073168035388,0.8223546115187924,0.8719422073722017,ETH/USD,10,10,2.6290668491900524,True,True,False,False,2,True,crypto,4h,TSF_9,gross,0.14894749243277822,12950343.65830274,0.8830794912086116,1.1456234276161932,-0.7708101898770185,0.9993970663199845,1175.6876794379975,36843,False,False,True
0.4434779758582009,0.8,0.44347797585820087,0.2952758646794304,0.7190728164338586,0.8308377963958548,SOL/USD,10,10,2.6290668491900524,False,True,False,False,1,True,crypto,4h,LINEARREG_9,gross,0.06946581937990194,10404799.65207129,0.7332314661124477,1.0309286541168892,-0.7848741756752928,0.9993943189291228,1307.0137127390226,40927,False,False,True
