rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
LINEARREG_INTERCEPT_21,TSLA,wide,-0.27076914640900607,495.4173250132965,18041.978505404717,15.577715084668661
LINEARREG_INTERCEPT_21,TSLA,pessimistic,-0.28516630105668433,393.4647880883124,18041.978505404717,15.577715084668661
LINEARREG_INTERCEPT_21,JPM,gross,-0.3816625191175958,-98.02788169181355,9659.256819773182,41.583289083403606
LINEARREG_INTERCEPT_21,JPM,retail,-0.38861418527311414,-98.31675853290311,9659.256819773182,41.583289083403606
LINEARREG_INTERCEPT_21,JPM,wide,-0.39723293751773286,-98.61943452732709,9659.256819773182,41.583289083403606
LINEARREG_INTERCEPT_21,JPM,pessimistic,-0.4187521093847658,-99.15905574119478,9659.256819773182,41.583289083403606
LINEARREG_INTERCEPT_21,JNJ,gross,-0.42308724082310845,-89.54279244282668,19616.508827131267,53.57575862241664
LINEARREG_INTERCEPT_21,JNJ,retail,-0.43428185659482743,-91.47057991452557,19616.508827131267,53.57575862241664
LINEARREG_INTERCEPT_21,JNJ,wide,-0.44811565514736357,-93.38589211502668,19616.508827131267,53.57575862241664
LINEARREG_INTERCEPT_21,JNJ,pessimistic,-0.48262087615113325,-96.49839980730202,19616.508827131267,53.57575862241664
LINEARREG_INTERCEPT_21,XOM,gross,-0.5940142046465852,-99.79580861683037,14857.76769832107,53.57575862241664
LINEARREG_INTERCEPT_21,XOM,retail,-0.6053480877422425,-99.83602253529162,14857.76769832107,53.57575862241664
LINEARREG_INTERCEPT_21,XOM,wide,-0.619608016678751,-99.87596978644483,14857.76769832107,53.57575862241664
LINEARREG_INTERCEPT_21,XOM,pessimistic,-0.6551718800699611,-99.93829911900788,14857.76769832107,53.57575862241664
LINEARREG_INTERCEPT_21,UNH,gross,-0.5730576887387266,-99.17076035505946,74945.36354660902,40.433388893137035
LINEARREG_INTERCEPT_21,UNH,retail,-0.5796352699628513,-99.275819816009,74945.36354660902,40.433388893137035
LINEARREG_INTERCEPT_21,UNH,wide,-0.5877246085391733,-99.38831127865042,74945.36354660902,40.433388893137035
LINEARREG_INTERCEPT_21,UNH,pessimistic,-0.6079178426905453,-99.59896403402963,74945.36354660902,40.433388893137035
LINEARREG_INTERCEPT_21,V,gross,-0.8428092756753832,-88.46411382540764,3066.470329982456,17.57747820135107
LINEARREG_INTERCEPT_21,V,retail,-0.8521921197956933,-89.18765635629904,3066.470329982456,17.57747820135107
LINEARREG_INTERCEPT_21,V,wide,-0.8641146361036246,-90.05431817413941,3066.470329982456,17.57747820135107
LINEARREG_INTERCEPT_21,V,pessimistic,-0.8938516859184201,-91.92964534414492,3066.470329982456,17.57747820135107
LINEARREG_INTERCEPT_21,PG,gross,-0.44745277149262425,-95.35714803062356,10845.510279583505,53.57575862241664
LINEARREG_INTERCEPT_21,PG,retail,-0.4590294595577839,-96.22107250338067,10845.510279583505,53.57575862241664
