class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
commodities,5m,long,CDLHOMINGPIGEON,5,3.637595395476957,-2.61968225,0.7241946563979307,-7.234746146926929,4,0.018844601130078537,1.0,-0.4568128628293693,-5.340009963465088,-15616.485508513008,0.0,-2.27399670778646,0.5926379051819592,-0.23893696045193025,-0.4738991739112184,0.8323992050623269,813.0,-0.00014495790777213947,0.4693627450980392,0.002186421266334479,0.0022944564370902983,-0.06317745040998338,-0.1225131361984555,-0.03526387986634949,-0.8334006102530975,1.0419927060333167,-2592.3276210664126,9786.310355432883,8774.868638015445,20419.927060333168,0.0,0.018844601130078537,0.0,446.65246931126813,1.0,1.021264608197788,416,False,False,False,False,False,False,0,6,False,False,unrankable,False
commodities,5m,short,CDLMATCHINGLOW,5,3.637595395476957,-2.67453285,1.9503270918383946,-2.742650564812657,4,1.0,1.0,-0.5605186943738205,-0.21749217090865672,-19490.242787830673,0.0,-1.5648167999811846,0.5926379051819592,-0.9478929132524284,-0.4738991739112184,0.8533162959551938,7581.0,-0.0003259018851823191,0.4043419267299864,0.004688849225061939,0.00399026693237394,-0.08167420643922421,-0.9070315727497507,-0.4868301180184662,-0.4868301180185043,1.0419927060333167,-2912.0593815224233,9786.310355432883,929.6842725024928,20419.927060333168,0.2,0.0911519666890801,0.9088480333109199,4102.0026087019305,1.0,2.7503655484160525,416,False,False,False,False,False,False,0,6,False,True,underpowered,False
commodities,5m,long,CDLIDENTICAL3CROWS,5,3.637595395476957,-2.6935784,0.8901890467945783,-6.051699714120556,4,0.007990990238098081,1.0,-1.1856640135159404,-23.674248131977958,-14790.959136400852,0.0,-1.761409307082461,0.5926379051819592,-0.2598838887117082,-0.4738991739112184,0.4956426680332235,322.0,-0.0010668825996790708,0.35214446952595935,0.0036173928939789695,0.004648891310195729,-0.22949183547036994,-0.2319158343002543,-0.06996756673807158,-0.9999950319692426,1.0419927060333167,-3064.8299189569493,9786.310355432883,7680.841656997457,20419.927060333168,0.0,0.0,0.007990990238098081,177.0400305654553,1.0,1.2553511132193231,416,False,False,False,False,False,False,0,6,False,False,unrankable,False
commodities,5m,long,LINEARREG_INTERCEPT_1000,5,3.637595395476957,-2.7622441999999996,1.0950890336789119,-5.044784697953445,4,1.0,1.0,-1.2782162251660438,-2.8221775880532656,-19175.220969825983,0.0,-2.019190333638096,0.5926379051819592,-0.9543401702526544,-0.4738991739112184,0.5998398611678946,2523.0,-0.0011228478958382846,0.0697582243361078,0.02412831586989508,0.0031421640164404235,-0.35734859477841463,-0.9521077111935388,-0.5740507220447487,-0.5740507220447668,1.0419927060333167,-7168.070372565676,9786.310355432883,478.9228880646127,20419.927060333168,0.0,0.5345791805094131,0.46542081949058695,1416.5871639184002,1.0,1.5443025753386157,416,False,False,False,False,False,False,0,6,False,True,underpowered,False
commodities,5m,short,LINEARREG_INTERCEPT_1000,5,3.637595395476957,-2.7622441999999996,1.0950890336789119,-5.044784697953445,4,1.0,1.0,-0.3278988003718242,-2.8221775880532656,-19175.220969825983,0.0,-2.019190333638096,0.5926379051819592,-0.9543401702526544,-0.4738991739112184,0.5998398611678946,2523.0,-0.0011228478958382846,0.0697582243361078,0.02412831586989508,0.0031421640164404235,-0.35734859477841463,-0.9521077111935388,-0.5740507220447487,-0.5740507220447668,1.0419927060333167,-7168.070372565676,9786.310355432883,478.9228880646127,20419.927060333168,0.0,0.5345791805094131,0.46542081949058695,1416.5871639184002,1.0,1.5443025753386157,416,False,False,False,False,False,False,0,6,False,True,underpowered,False
commodities,5m,long,TRIX,5,3.637595395476957,-3.02520275,0.37470670986955024,-16.14704338256013,4,1.0,1.0,-1.5607681503291582,-4.4746612159258525,-20271.45545074608,0.0,-2.5438558992254365,0.5926379051819592,-0.9860205864382788,-0.4738991739112184,0.7053930025698609,4936.0,-0.0007868191316820745,0.18416490078982856,0.011944917992021927,0.0042102253222582806,-0.18688290327892487,-0.9851528390412913,-0.6934414813545258,-0.6934414813545453,1.0419927060333167,-9427.807577287667,9786.310355432883,148.4716095870872,20419.927060333168,0.0,0.5185730105995887,0.48142698940041134,2713.3309032314346,1.0,0.5284141464774027,416,False,False,False,False,False,False,0,6,False,True,underpowered,False
commodities,5m,short,TRIX,5,3.637595395476957,-3.02520275,0.37470670986955024,-16.14704338256013,4,1.0,1.0,-0.9857096954773323,-4.4746612159258525,-20271.45545074608,0.0,-2.5438558992254365,0.5926379051819592,-0.9860205864382788,-0.4738991739112184,0.7053930025698609,4936.0,-0.0007868191316820745,0.18416490078982856,0.011944917992021927,0.0042102253222582806,-0.18688290327892487,-0.9851528390412913,-0.6934414813545258,-0.6934414813545453,1.0419927060333167,-9427.807577287667,9786.310355432883,148.4716095870872,20419.927060333168,0.0,0.5185730105995887,0.48142698940041134,2713.3309032314346,1.0,0.5284141464774027,416,False,False,False,False,False,False,0,6,False,True,underpowered,False
commodities,5m,long,CDLADVANCEBLOCK,5,3.637595395476957,-3.0352229000000004,2.1178265280248207,-2.866356483720869,4,0.0508859357696567,1.0,-0.1152583404449784,-1.0561965785555103,-12700.251105693293,0.0,-1.000659161443816,0.5926379051819592,-0.3907388970452459,-0.4738991739112184,1.0088572893171486,2048.0,1.1835985431033009e-05,0.48681640625,0.002769287984350859,0.0026039391267697917,0.004545415562657814,-0.22803240453601237,-0.07010770350382234,0.028183385425059795,1.0419927060333167,1221.9739833874341,9786.310355432883,7719.675954639876,20419.927060333168,0.2,0.0,0.0508859357696567,1150.3451672105011,1.0,2.9865744800327563,416,False,False,False,False,False,False,0,6,False,False,unrankable,False
commodities,5m,long,CDLXSIDEGAP3METHODS,5,3.637595395476957,-3.06255925,1.4511968132967892,-4.220735908374222,4,0.04969150450878026,1.0,-1.242727204227883,-98.05420425218156,-14762.472424142266,0.0,-2.1281280252267205,0.5926379051819592,-0.43959326062647874,-0.4738991739112184,0.8897089128285559,2107.0,-0.00014150325733843012,0.46085858585858586,0.002451712204547697,0.0024007788950917964,-0.05894056200998868,-0.4342545363809097,-0.14783317534130958,-0.8292958769343992,1.0419927060333167,-2331.428583844905,9786.310355432883,5657.454636190902,20419.927060333168,0.2,0.024477930707166588,0.025213573801613667,1183.4849938049442,1.0,2.046488374163125,416,False,False,False,False,False,False,0,6,False,False,unrankable,False
commodities,5m,long,CDLTHRUSTING,5,3.637595395476957,-3.0883651,1.1493407012150865,-5.374150757447241,4,0.025256466036453595,1.0,-1.6543528929088218,-3.5421156955700326,-14374.147743355401,0.0,-2.5524092910485523,0.5926379051819592,-0.3767745016342203,-0.4738991739112184,0.7419693691136459,1128.0,-0.000319324336718046,0.4254335260115607,0.0022500775323463815,0.002265189941586657,-0.14097022543477064,-0.34664974478799515,-0.11034478198753706,-0.9800488395131427,1.0419927060333167,-3159.6341708360233,9786.310355432883,6533.502552120049,20419.927060333168,0.0,0.0,0.025256466036453595,622.8766494216256,1.0,1.6208086742181467,416,False,False,False,False,False,False,0,6,False,False,unrankable,False
