engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades,ref_equity,ref_trades,rel_error,trade_diff
manifoldbt_batch,at_close,XOM,RSI_TREND,2851,19047.123244739367,0.9047123244739366,309,19047.123244739367,309,0.0,0
manifoldbt_batch,at_close,XOM,MACD_CROSS,2851,19196.77282450889,0.9196772824508894,221,19196.77282450889,221,0.0,0
manifoldbt_batch,at_close,XOM,CCI_ZERO,2851,19638.249619415896,0.9638249619415896,325,19638.249619415896,325,0.0,0
manifoldbt_batch,at_close,XOM,BBANDS_DIP,2851,10203.568307973514,0.0203568307973514,146,10203.568307973514,146,0.0,0
manifoldbt_batch,at_close,UNH,SMA_CROSS,2851,12666.087583770974,0.2666087583770973,63,12666.087583770974,63,0.0,0
manifoldbt_batch,at_close,UNH,RSI_TREND,2851,11669.104983199002,0.1669104983199001,336,11669.104983199002,336,0.0,0
manifoldbt_batch,at_close,UNH,MACD_CROSS,2851,12713.328633403778,0.2713328633403777,230,12713.328633403778,230,0.0,0
manifoldbt_batch,at_close,UNH,CCI_ZERO,2851,12519.387213618584,0.2519387213618584,312,12519.387213618584,312,0.0,0
manifoldbt_batch,at_close,UNH,BBANDS_DIP,2851,15777.266082134236,0.5777266082134236,168,15777.266082134236,168,0.0,0
manifoldbt_batch,at_close,V,SMA_CROSS,2851,25903.7623287752,1.5903762328775195,59,25903.7623287752,59,0.0,0
manifoldbt_batch,at_close,V,RSI_TREND,2851,14449.723506648234,0.4449723506648233,323,14449.723506648234,323,0.0,0
manifoldbt_batch,at_close,V,MACD_CROSS,2851,12398.817645601164,0.2398817645601163,243,12398.817645601164,243,0.0,0
manifoldbt_batch,at_close,V,CCI_ZERO,2851,16982.490294012285,0.6982490294012285,301,16982.490294012285,301,0.0,0
manifoldbt_batch,at_close,V,BBANDS_DIP,2851,20828.83658509903,1.0828836585099029,128,20828.83658509903,128,0.0,0
manifoldbt_batch,at_close,PG,SMA_CROSS,2851,14176.125763830249,0.4176125763830247,67,14176.125763830249,67,0.0,0
manifoldbt_batch,at_close,PG,RSI_TREND,2851,12472.978407019216,0.2472978407019217,332,12472.978407019216,332,0.0,0
manifoldbt_batch,at_close,PG,MACD_CROSS,2851,11965.762727775837,0.1965762727775837,248,11965.762727775837,248,0.0,0
manifoldbt_batch,at_close,PG,CCI_ZERO,2851,10979.270543136336,0.0979270543136336,312,10979.270543136336,312,0.0,0
manifoldbt_batch,at_close,PG,BBANDS_DIP,2851,10605.887917282473,0.0605887917282472,154,10605.887917282473,154,0.0,0
manifoldbt_batch,at_close,HD,SMA_CROSS,2851,18686.864969183112,0.8686864969183112,61,18686.864969183112,61,0.0,0
manifoldbt_batch,at_close,HD,RSI_TREND,2851,23930.01899586046,1.393001899586046,330,23930.01899586046,330,0.0,0
manifoldbt_batch,at_close,HD,MACD_CROSS,2851,37356.03258788694,2.7356032587886943,220,37356.03258788694,220,0.0,0
manifoldbt_batch,at_close,HD,CCI_ZERO,2851,31465.441923606548,2.146544192360655,268,31465.441923606548,268,0.0,0
manifoldbt_batch,at_close,HD,BBANDS_DIP,2851,13124.213052463145,0.3124213052463143,142,13124.213052463145,142,0.0,0
manifoldbt_batch,at_close,MA,SMA_CROSS,2851,26943.72814635945,1.6943728146359454,59,26943.72814635945,59,0.0,0
manifoldbt_batch,at_close,MA,RSI_TREND,2851,15950.077179340717,0.5950077179340716,345,15950.077179340717,345,0.0,0
manifoldbt_batch,at_close,MA,MACD_CROSS,2851,14474.374498704605,0.4474374498704603,261,14474.374498704605,261,0.0,0
manifoldbt_batch,at_close,MA,CCI_ZERO,2851,24146.795323301376,1.4146795323301378,291,24146.795323301376,291,0.0,0
manifoldbt_batch,at_close,MA,BBANDS_DIP,2851,15853.65908499194,0.585365908499194,140,15853.65908499194,140,0.0,0
manifoldbt_batch,at_close,CVX,SMA_CROSS,2851,10229.83239380022,0.022983239380022,67,10229.83239380022,67,0.0,0
manifoldbt_batch,at_close,CVX,RSI_TREND,2851,14584.690497973468,0.4584690497973467,337,14584.690497973468,337,0.0,0
manifoldbt_batch,at_close,CVX,MACD_CROSS,2851,21161.7744876261,1.1161774487626095,233,21161.7744876261,233,0.0,0
manifoldbt_batch,at_close,CVX,CCI_ZERO,2851,18083.577307318315,0.8083577307318315,331,18083.577307318315,331,0.0,0
manifoldbt_batch,at_close,CVX,BBANDS_DIP,2851,10929.78549118204,0.092978549118204,150,10929.78549118204,150,0.0,0
manifoldbt_batch,at_close,ABBV,SMA_CROSS,2851,14762.65725400866,0.476265725400866,71,14762.65725400866,71,0.0,0
manifoldbt_batch,at_close,ABBV,RSI_TREND,2851,30236.272638151797,2.0236272638151798,293,30236.272638151797,293,0.0,0
manifoldbt_batch,at_close,ABBV,MACD_CROSS,2851,16762.811730990274,0.6762811730990275,238,16762.811730990274,238,0.0,0
manifoldbt_batch,at_close,ABBV,CCI_ZERO,2851,30963.23566216738,2.096323566216738,250,30963.23566216738,250,0.0,0
