book,signal,family,horizon,t,null_sd,p_perm
top-20,C_vol_trend_60,C,21,0.3315289115542805,0.7621890744378762,0.7916666666666666
top-20,C_vol_of_vol_252,C,1,-2.0005408717035476,0.6408605219348371,0.3333333333333333
top-20,C_vol_of_vol_252,C,5,-2.1736019134303253,0.48173027692428294,0.2916666666666667
top-20,C_vol_of_vol_252,C,21,-2.172483304775401,0.6386952145992887,0.125
top-20,C_vol_trend_252,C,1,1.3021744108116815,0.8318052154167924,0.125
top-20,C_vol_trend_252,C,5,0.1559061717024334,0.8092457800672443,0.7916666666666666
top-20,C_vol_trend_252,C,21,0.4586183858240716,0.936419863368127,0.6666666666666666
top-20,I_lowbeta_126,I,1,-1.5469399307336889,0.5084155614015853,0.8333333333333334
top-20,I_lowbeta_126,I,5,-1.6384210613887664,0.4871973435397678,0.9166666666666666
top-20,I_lowbeta_126,I,21,-1.4994105808083884,0.4425299704446748,0.875
top-20,C_idio_vol_126,C,1,-1.778654199158342,0.7535735937890682,0.25
top-20,C_idio_vol_126,C,5,-2.389418456135417,0.5640014587741834,0.04
top-20,C_idio_vol_126,C,21,-2.7746110096470002,0.6079995982746799,0.04
top-20,I_corr_126,I,1,0.04508492419932502,0.9248466005422926,1.0
top-20,I_corr_126,I,5,0.3360759103704194,0.9143323390787045,1.0
top-20,I_corr_126,I,21,0.6339268268730766,0.9811554614835798,0.75
top-20,I_idio_mom_126,I,1,1.1217467966798795,0.7831552363709539,0.16666666666666666
top-20,I_idio_mom_126,I,5,0.16153599478257638,0.618122858003768,0.7083333333333334
top-20,I_idio_mom_126,I,21,0.07096569033688829,0.7459174103814815,0.875
top-20,I_lowbeta_252,I,1,-1.5305307856229504,0.7118930433997183,0.75
top-20,I_lowbeta_252,I,5,-1.9882884314337281,0.557265505140867,0.7916666666666666
top-20,I_lowbeta_252,I,21,-1.5155349602009007,0.6219515398756494,0.75
top-20,C_idio_vol_252,C,1,-1.481774030154822,0.6628533635150601,0.25
top-20,C_idio_vol_252,C,5,-1.934894507927353,0.6478892585917089,0.125
top-20,C_idio_vol_252,C,21,-1.8963892647375222,0.7683438712035087,0.20833333333333334
