timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
5m,WMT,CDLSHOOTINGSTAR,0.0,69708,19506.231258495893,-0.030968288249776044,-309.68288249776043,-0.008764298189081532,-0.2550659665544179,-0.09662780451853015,0.050969759568485686,1182,330.7611193645135,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4734671088399067,-0.2926559217617347,-1.5257399902321127,False
5m,WMT,CDLSHOOTINGSTAR,1.0,69708,19506.231258495893,-0.1390055571697717,-1390.055571697717,-0.04101672224795205,-1.2713400899893026,-0.18365796090109743,0.050969759568485686,1182,330.7611193645135,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.5815043777599023,-0.32490834582060524,-2.5420141136669976,False
5m,WMT,CDLSHOOTINGSTAR,5.0,69708,19506.231258495893,-0.4634645448934518,-4634.645448934518,-0.15989599237909213,-5.13580583579287,-0.46894549334823654,0.050969759568485686,1182,330.7611193645135,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.9059633654835824,-0.4437876159517453,-6.406479859470565,False
5m,WMT,CDLSHOOTINGSTAR,10.0,69708,19506.231258495893,-0.7030178187576162,-7030.178187576162,-0.2880438807324127,-9.073169541544253,-0.7039184936537282,0.050969759568485686,1182,330.7611193645135,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.145516639347747,-0.5719355043050659,-10.343843565221947,False
5m,WMT,CDLSHORTLINE,0.0,69708,19506.231258495893,-0.13761225984545244,-1376.1225984545245,-0.040582713421811745,-0.3452070738639194,-0.2757198099535473,0.5104866012509325,10154,3574.0110122872816,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.5801110804355831,-0.32447433699446493,-1.6158810975416142,False
5m,WMT,CDLSHORTLINE,1.0,69708,19506.231258495893,-0.7596462431367396,-7596.462431367396,-0.32896923365568076,-3.7367710677208494,-0.7639416849314026,0.5104866012509325,10154,3574.0110122872816,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.2021450637268702,-0.6128608572283339,-5.007445091398544,False
5m,WMT,CDLSHORTLINE,5.0,69708,19506.231258495893,-0.9985523579678012,-9985.523579678013,-0.8395044954824007,-16.108859083397103,-0.9985637122098385,0.5104866012509325,10154,3574.0110122872816,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.441051178557932,-1.1233961190550539,-17.3795331070748,False
5m,WMT,CDLSHORTLINE,10.0,69708,19506.231258495893,-0.9999975808644803,-9999.975808644804,-0.973185491058496,-27.740951677117707,-0.9999975910722766,0.5104866012509325,10154,3574.0110122872816,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.442496401454611,-1.2570771146311492,-29.011625700795403,False
5m,WMT,CDLSPINNINGTOP,0.0,69708,19506.231258495893,0.07015599004017892,701.5599004017892,0.019154976781774913,0.20841402437635595,-0.21631780875546724,0.6978969415275148,13033,4896.495826260793,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.3723428305499517,-0.26473664679087827,-1.0622599993013389,False
5m,WMT,CDLSPINNINGTOP,1.0,69708,19506.231258495893,-0.8140467986303553,-8140.4679863035535,-0.37546619189381336,-3.4224997046536934,-0.8270430272421601,0.6978969415275148,13033,4896.495826260793,1.4424988205901306,0.2838916235726532,1.2706740236776948,-2.256545619220486,-0.6593578154664665,-4.693173728331388,False
