timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
1d,10.0,BBANDS,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,BETA,20,-182641.25680357506,-0.9132062840178753,-0.9284044889454462,-0.22517518506100104,-0.750834269934688,-0.9311210270824206,-1.4766466617050091,-0.41865231898749766,0.0,0.0,0.998282377189969,28.975972170068957,168.15,20,True,False,False
1d,10.0,BOP,20,-196069.47774003755,-0.9803473887001879,-0.9864286669373808,-0.31497488258127093,-1.2302771959129828,-0.9840467643546245,-1.9560895876833038,-0.5084520165077675,0.0,0.0,0.9965132256956373,255.1147254496289,1486.6,20,True,False,False
1d,10.0,BUYHOLD,20,5374372.87291947,26.871864364597343,5.028281442799381,0.1934771339264966,0.7258123917703211,-0.46543749735534695,0.0,0.0,0.0,1.0,1.0,0.08641805001511768,1.0,20,True,False,True
1d,10.0,CCI,20,-94176.27842556656,-0.47088139212783287,-0.6944766858815187,-0.09954748150574674,-0.29025682796886276,-0.7929406361145264,-1.0160692197391836,-0.29302461543224334,0.0,0.15,0.9955341806939197,61.94445825083635,358.9,20,True,False,False
1d,10.0,CDL2CROWS,20,-7377.50237493664,-0.0368875118746832,-0.03031605793438702,-0.0034479122056332023,-0.14252373743831673,-0.07553416511592077,-0.8683361292086378,-0.1969250461321298,0.0,0.35,0.00623497080041223,0.5228292025914619,6.05,20,True,False,False
1d,10.0,CDL3BLACKCROWS,20,-832.2675484837905,-0.004161337742418952,0.0,-0.00038256223930819286,-0.17688048851728735,-0.01053775620282319,-1.0460908860944667,-0.19385969616580478,0.0,0.05,0.0004122294744074201,0.034567220006047075,0.4,4,False,False,False
1d,10.0,CDL3INSIDE,20,-22511.320214281746,-0.11255660107140872,-0.10444595655159639,-0.014772205966315783,-0.09083337018930313,-0.3314519476623098,-0.8166457619596242,-0.20824933989281239,0.0,0.4,0.10274819649604947,8.594275074003452,96.35,20,True,False,False
1d,10.0,CDL3LINESTRIKE,20,-2454.2211336789655,-0.012271105668394826,0.0,-0.0012259775009334894,-0.05791531419433962,-0.04896071325469947,-0.8020767735456958,-0.19470311142743008,0.0,0.4,0.004740638955685331,0.3888812250680295,4.5,16,True,False,False
1d,10.0,CDL3OUTSIDE,20,-82906.0543636959,-0.4145302718184795,-0.44636805966515164,-0.051567543220174275,-0.4011258026907541,-0.5340888172850143,-1.1269381944610752,-0.24504467714667086,0.0,0.1,0.19876331157677773,16.289802427849683,179.0,20,True,False,False
1d,10.0,CDL3STARSINSOUTH,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,CDL3WHITESOLDIERS,20,6134.941436084435,0.030674707180422173,0.009113569091727003,0.0024181464898640147,0.13759036850267808,-0.02912180741538554,-0.6125993763430511,-0.19105898743663258,0.0,0.55,0.004465819306080384,0.371597615065006,4.3,16,True,False,False
1d,10.0,CDLABANDONEDBABY,20,36.15115611343322,0.00018075578056716556,0.0,-5.2865333564799945e-06,-0.01824781435154841,-0.007649932072489646,-0.8216698738388517,-0.1934824204598531,0.0,0.1,0.0006183442116111301,0.051850830009070606,0.55,4,False,False,False
1d,10.0,CDLADVANCEBLOCK,20,-15298.812630103566,-0.07649406315051784,-0.05960379700287444,-0.0073077930375191336,-0.16538085954998166,-0.15469685956361498,-0.8911932513203027,-0.20078492696401576,0.0,0.2,0.02849536241841292,2.341929155409689,27.1,20,True,False,False
1d,10.0,CDLBELTHOLD,20,-126291.90553450973,-0.6314595276725486,-0.6795092720056153,-0.09735582374059253,-0.3997070051329662,-0.7348212110694362,-1.1255193969032873,-0.2908329576670891,0.0,0.0,0.6341978701477156,50.666902723863494,460.8,20,True,False,False
1d,10.0,CDLBREAKAWAY,20,-911.6133270314099,-0.004558066635157049,0.0,-0.0004403347292268378,-0.018539293191680784,-0.01974306724146933,-0.7863223749404156,-0.19391746865572343,0.0,0.25,0.0016489178976296804,0.1382688800241883,1.6,11,False,False,False
1d,10.0,CDLCLOSINGMARUBOZU,20,-160472.77605410005,-0.8023638802705003,-0.8402783843295207,-0.15234591442215847,-0.6610678877776894,-0.8557082090755168,-1.3868802795480104,-0.34582304834865507,0.0,0.0,0.5875815870834764,48.264480933443224,440.95,20,True,False,False
1d,10.0,CDLCONCEALBABYSWALL,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,CDLCOUNTERATTACK,20,1654.5802324843457,0.008272901162421731,0.002363299585528833,0.00011681548834943656,-0.003600358070913501,-0.09372308719457381,-0.7294127498412346,-0.19336031843814716,0.0,0.55,0.009361044314668499,0.777762450136059,9.0,20,True,False,False
1d,10.0,CDLDARKCLOUDCOVER,20,-26037.935692177358,-0.13018967846088678,-0.09745646827891236,-0.012878347178349143,-0.23933722105084038,-0.20404271749475025,-0.9651496128211614,-0.20635548110484575,0.0,0.05,0.028890415664720025,2.3505709604112006,27.2,20,True,False,False
1d,10.0,CDLDOJI,20,660851.0778068472,3.3042553890342354,1.3865763229546126,0.09063193002355131,0.4722838490550795,-0.38977981910932624,-0.2535285427152415,-0.1028452039029453,0.05,1.0,0.5906389556853315,28.487710187483543,329.65,20,True,False,False
1d,10.0,CDLDOJISTAR,20,-31383.848104871802,-0.15691924052435902,-0.13378692720880914,-0.019997460738819972,-0.14677797086996783,-0.36868298315372583,-0.8725903626402889,-0.21347459466531657,0.0,0.3,0.14163517691514943,11.605944117030303,130.45,20,True,False,False
1d,10.0,CDLDRAGONFLYDOJI,20,54650.39844675618,0.27325199223378094,0.04723237409581882,0.014552990676244182,0.17590858370986986,-0.2081473939182276,-0.5499038080604512,-0.1789241432502524,0.0,0.65,0.07834077636551014,6.239383211091496,72.2,20,True,False,False
1d,10.0,CDLENGULFING,20,-131419.49620250706,-0.6570974810125352,-0.6815895762168376,-0.09592831880471728,-0.5086219298269189,-0.7257891342133234,-1.23443432159724,-0.2894054527312139,0.0,0.0,0.40273102026794916,32.98144878826966,335.0,20,True,False,False
1d,10.0,CDLEVENINGDOJISTAR,20,-7832.330696835954,-0.03916165348417977,-0.053569253825422936,-0.00422861098157411,-0.1470951997940585,-0.10849836896924425,-0.8729075915643796,-0.19770574490807072,0.0,0.4,0.01245276537272415,1.037016600181412,12.0,20,True,False,False
1d,10.0,CDLEVENINGSTAR,20,-26315.195589106545,-0.13157597794553272,-0.13327556425358134,-0.012983356494904097,-0.2318008766396135,-0.2107387802381348,-0.9576132684099345,-0.2064604904214007,0.0,0.15,0.03627619374785297,2.9641391155185364,34.3,20,True,False,False
1d,10.0,CDLGAPSIDESIDEWHITE,20,-6468.576930659525,-0.03234288465329763,-0.03179261536537231,-0.002994203479929053,-0.08987766590438342,-0.10308430452178914,-0.8156900576747045,-0.19647133740642567,0.0,0.25,0.015286843009275164,1.2789871402237416,14.65,20,True,False,False
1d,10.0,CDLGRAVESTONEDOJI,20,13904.143461567288,0.06952071730783645,0.04234964055150792,0.0032973210881576285,0.12867213818596313,-0.21799982745858876,-0.5971402535843578,-0.19017981283833899,0.0,0.55,0.07157334249398832,5.712233105999278,66.1,20,True,False,False
1d,10.0,CDLHAMMER,20,83118.84568295997,0.41559422841479987,0.2191263231052598,0.020617954952175676,0.24366546139795364,-0.23657070427513074,-0.48214693037236733,-0.17285917897432093,0.0,0.7,0.11288217107523188,8.87081283405183,102.65,20,True,False,False
1d,10.0,CDLHANGINGMAN,20,-57779.709237748466,-0.28889854618874233,-0.2738922657208511,-0.03309356973548644,-0.30570120377724574,-0.4006988190866644,-1.0315135955475667,-0.22657070366198306,0.0,0.1,0.11585365853658536,8.866491931551073,102.6,20,True,False,False
1d,10.0,CDLHARAMI,20,-31785.116036939857,-0.15892558018469927,-0.17077826055589385,-0.028192597197221298,-0.041305324033104385,-0.5393873578028142,-0.7671177158034255,-0.2216697311237179,0.0,0.25,0.41681552731020266,32.76972456573262,337.9,20,True,False,False
1d,10.0,CDLHARAMICROSS,20,-26983.675743663443,-0.13491837871831722,-0.06673012003152595,-0.020530525229806168,-0.09641444582256233,-0.3893110126754312,-0.8222268375928833,-0.21400765915630277,0.0,0.4,0.1485056681552731,12.150377832125546,135.75,20,True,False,False
1d,10.0,CDLHIGHWAVE,20,-80404.72198148463,-0.4020236099074232,-0.5412651348887281,-0.06520066335140992,-0.23655762798003005,-0.6533258605708061,-0.9623700197503512,-0.2586777972779065,0.0,0.05,0.5701992442459636,46.60957527565372,433.4,20,True,False,False
1d,10.0,CDLHIKKAKE,20,-95853.02242933014,-0.47926511214665074,-0.4884662601675985,-0.06077041079846699,-0.22960163050574395,-0.6308819087152606,-0.955414022276065,-0.2542475447249636,0.0,0.0,0.49513912744761257,35.336340651181615,351.95,20,True,False,False
1d,10.0,CDLHIKKAKEMOD,20,3867.4633560451143,0.019337316780225572,0.00709274811528926,0.0015160769952578367,-0.001394916179344279,-0.048550547344553475,-0.7027065238064968,-0.19196105693123877,0.0,0.5,0.006046032291308828,0.45801566508012365,5.3,17,True,False,False
1d,10.0,CDLHOMINGPIGEON,20,27822.911608161805,0.13911455804080902,0.14842451866301198,0.009355276867237255,0.19413708736761584,-0.2504163590673769,-0.5316753044027052,-0.18412185705925935,0.0,0.75,0.08280659567159052,6.628264436159526,76.7,20,True,False,False
1d,10.0,CDLIDENTICAL3CROWS,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,CDLINNECK,20,-8705.968002038564,-0.04352984001019282,-0.034555780492817156,-0.004357109788187946,-0.14221695036652182,-0.10121142306363887,-0.8680293421368429,-0.19783424371468455,0.0,0.45,0.007523187907935418,0.6308517651103591,7.3,20,True,False,False
1d,10.0,CDLINVERTEDHAMMER,20,16204.989642152112,0.08102494821076056,0.03181684142246233,0.0030960051726813876,0.11717968834848869,-0.24579737567393659,-0.6086327034218323,-0.19038112875381522,0.0,0.55,0.07270697354860872,5.7597630335075936,66.65,20,True,False,False
1d,10.0,CDLKICKING,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,CDLKICKINGBYLENGTH,20,0.0,0.0,0.0,0.0,,0.0,,-0.1934771339264966,0.0,0.0,0.0,0.0,0.0,0,False,False,False
1d,10.0,CDLLADDERBOTTOM,20,6999.7579764598595,0.034998789882299305,-0.0020302995405608315,0.0026591909010658223,0.061082883335506155,-0.08718773434475126,-0.6647295084348148,-0.1908179430254308,0.0,0.5,0.010803847475094469,0.890105915155712,10.3,20,True,False,False
1d,10.0,CDLLONGLEGGEDDOJI,20,660851.0778068472,3.3042553890342354,1.3865763229546126,0.09063193002355131,0.4722838490550795,-0.38977981910932624,-0.2535285427152415,-0.1028452039029453,0.05,1.0,0.5906389556853315,28.487710187483543,329.65,20,True,False,False
1d,10.0,CDLLONGLINE,20,-148611.81296156114,-0.7430590648078057,-0.8448419416110238,-0.1385912556334438,-0.5479020097386451,-0.8491842297578571,-1.273714401508966,-0.3320683895599404,0.0,0.05,0.751940913775335,63.58208029862283,523.95,20,True,False,False
1d,10.0,CDLMARUBOZU,20,-71912.23417688473,-0.35956117088442363,-0.44983105105522825,-0.044011885472090166,-0.31878048842869305,-0.5384809066550238,-1.044592880199014,-0.23748901939858674,0.0,0.05,0.2289934730333219,18.510746313238208,200.7,20,True,False,False
1d,10.0,CDLMATCHINGLOW,20,41384.0862410365,0.2069204312051825,0.08486054581504598,0.013707516877402686,0.22018446238515638,-0.22487736364064176,-0.5056279293851647,-0.17976961704909392,0.0,0.75,0.08605290278254896,6.801100536189762,78.7,20,True,False,False
1d,10.0,CDLMATHOLD,20,-302.3615334759333,-0.0015118076673796665,0.0,-0.0001324875079940613,-0.2912904461954514,-0.001959748754003815,-0.7445244359656638,-0.19360962143449068,0.0,0.0,0.00010305736860185502,0.008641805001511769,0.1,1,False,False,False
1d,10.0,CDLMORNINGDOJISTAR,20,-922.2935463308804,-0.0046114677316544,0.0012413264223075648,-0.0008999476604116874,-0.07533537615156459,-0.08911205998703689,-0.8069701600211111,-0.1943770815869083,0.0,0.5,0.010202679491583648,0.8468968901481532,9.8,19,True,False,False
1d,10.0,CDLMORNINGSTAR,20,-11593.247350185187,-0.05796623675092594,-0.11151715245539351,-0.006596181082854841,-0.09087271797158261,-0.18909677256568375,-0.8166851097419036,-0.20007331500935144,0.0,0.3,0.03466162830642391,2.856116552999639,33.05,20,True,False,False
1d,10.0,CDLONNECK,20,-8618.254718151207,-0.043091273590756034,-0.04823154016215275,-0.004269828886722849,-0.12203979662369861,-0.1346909272736432,-0.8478521883940197,-0.19774696281321943,0.0,0.4,0.01638612160769495,1.3654051902388593,15.8,20,True,False,False
1d,10.0,CDLPIERCING,20,11979.323875134682,0.05989661937567341,0.02192002463505549,0.004055600456652186,0.0748502266980138,-0.13233399030094117,-0.6509621650723072,-0.18942153346984442,0.0,0.55,0.02164204740638956,1.745644610305377,20.2,20,True,False,False
1d,10.0,CDLRICKSHAWMAN,20,412433.4181173998,2.062167090586999,0.9517204466338315,0.07021680171584853,0.4159231031819105,-0.3552552828458188,-0.3098892885884105,-0.12326033221064807,0.0,0.9,0.4824287186533837,27.035886947229564,312.85,20,True,False,False
1d,10.0,CDLRISEFALL3METHODS,20,2223.802846291476,0.011119014231457381,0.0,0.0009297340909945384,0.11535919497810668,-0.01564232283808037,-0.585115067079123,-0.19254739983550206,0.0,0.4,0.0016489178976296804,0.1382688800241883,1.6,10,False,False,False
