timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
5m,10.0,DEMA_100,20,-199997.37901183928,-0.9999868950591964,-0.9999924440410709,-0.9608554257124833,-14.614862568336182,-0.999987346860185,-15.42672761660977,-1.2025261738335145,0.0,0.0,0.9843201949517066,3227.7751979603627,6662.35,20,True,False,False
5m,10.0,DEMA_1000,20,-197443.9245428658,-0.987219622714329,-0.9890523416843455,-0.7120856748064368,-6.345093926261876,-0.9878687766887977,-7.156958974535465,-0.9537564229274682,0.0,0.0,0.9588279592967961,1206.9143045604587,3028.5,20,True,False,False
5m,10.0,DEMA_200,20,-199948.87140788496,-0.9997443570394248,-0.9997903865671746,-0.9051213452238308,-11.060127837977944,-0.9997578694618019,-11.871992886251531,-1.146792093344862,0.0,0.0,0.9814941001717307,2285.8895365325716,4976.4,20,True,False,False
5m,10.0,DEMA_21,20,-199999.99999787522,-0.9999999999893762,-0.9999999999945313,-0.9992497495581958,-28.048174254402227,-0.9999999999895943,-28.86003930267582,-1.2409204976792272,0.0,0.0,0.9865581177216368,7108.873564578721,13599.05,20,True,False,False
5m,10.0,DEMA_50,20,-199999.97511348344,-0.9999998755674172,-0.9999999324022324,-0.9894482465579892,-19.381420134598635,-0.9999998803317467,-20.193285182872224,-1.2311189946790206,0.0,0.0,0.9857404151710855,4526.754145717496,8984.35,20,True,False,False
5m,10.0,DEMA_9,20,-200000.0,-1.0,-1.0,-0.9999861164980407,-39.89225404545744,-1.0,-40.70411909373102,-1.241656864619072,0.0,0.0,0.9869024135323954,10982.360507859772,20520.15,20,True,False,False
5m,10.0,DIV,20,-200000.0,-1.0,-1.0,-0.9999990013494943,-59.24496866091526,-1.0,-60.05683370918886,-1.2416697494705256,0.0,0.0,0.9868593765560506,13824.639497684248,25598.7,20,True,True,False
5m,10.0,DX,20,-199999.99998072314,-0.9999999999036158,-0.9999999998984034,-0.9984534907025507,-29.76886309946167,-0.9999999999040556,-30.580728147735254,-1.240124238823582,0.0,0.0,0.9866585373331083,6439.795868740952,12403.55,20,True,True,False
5m,10.0,EMA_100,20,-199937.8916167971,-0.9996894580839856,-0.9998167525378541,-0.9058812295742644,-11.119702777140649,-0.999706964360221,-11.931567825414238,-1.1475519776952958,0.0,0.0,0.9857260695123038,2322.519511601183,5045.85,20,True,False,False
5m,10.0,EMA_1000,20,-195512.90383449,-0.97756451917245,-0.9802796355346657,-0.6581394327099479,-5.3773375954814355,-0.9795941349954276,-6.189202643755023,-0.8998101808309791,0.0,0.0,0.9729727788554579,996.2010026114804,2665.0,20,True,False,False
5m,10.0,EMA_200,20,-199587.15974672334,-0.9979357987336167,-0.9984163089772998,-0.8289048482996177,-8.536477994330296,-0.9980308737625467,-9.348343042603883,-1.070575596420649,0.0,0.0,0.9843058492929251,1714.8928663799525,3959.15,20,True,False,False
5m,10.0,EMA_21,20,-199999.99838244327,-0.9999999919122164,-0.9999999956341025,-0.9950350750859946,-21.93900714656322,-0.9999999921694996,-22.750872194836806,-1.236705823207026,0.0,0.0,0.986845030897269,5229.047869354481,10240.2,20,True,False,False
5m,10.0,EMA_50,20,-199998.44890449275,-0.9999922445224637,-0.9999947729652677,-0.9654445931672763,-15.044008020147938,-0.9999923625002307,-15.855873068421525,-1.2071153412883073,0.0,0.0,0.9864290067926025,3304.14128040967,6800.8,20,True,False,False
5m,10.0,EMA_9,20,-199999.99999994814,-0.9999999999997409,-0.9999999999997603,-0.9997095546606266,-30.803475135843428,-0.9999999999997451,-31.615340184117013,-1.241380302781658,0.0,0.0,0.9870171788026483,7996.863632431375,15185.7,20,True,False,False
5m,10.0,EXP,20,-199999.34271804566,-0.9999967135902283,-0.9999999738847064,-0.986724266700483,-19.939493716219282,-0.9999967942702839,-20.75135876449287,-1.2283950148215141,0.0,0.0,0.9663370473782061,4594.361494474103,9087.55,20,True,True,False
5m,10.0,FLOOR,20,-199979.86045945002,-0.9998993022972501,-0.9999998428503811,-0.974340190031508,-18.473081506438,-0.9998996662487123,-19.284946554711585,-1.2160109381525392,0.0,0.0,0.8071877800473723,4130.484415792208,9103.95,20,True,True,False
5m,10.0,HT_DCPERIOD,20,-199982.8800616196,-0.999914400308098,-0.9999194782676855,-0.9284729505274468,-12.980606320345505,-0.9999153188625503,-13.79247136861909,-1.1701436986484781,0.0,0.0,0.9864003154750393,2593.6205034906243,5531.25,20,True,False,False
5m,10.0,HT_DCPHASE,20,-199999.3886609862,-0.999996943304931,-0.9999972570923258,-0.9720152421081532,-17.361527692460637,-0.9999970217414399,-18.173392740734222,-1.2136859902291843,0.0,0.0,0.9859699457115912,3650.489027830047,7418.65,20,True,False,False
5m,10.0,HT_PHASOR,20,-199999.9999999918,-0.9999999999999589,-0.99999999999996,-0.9998222981811751,-38.49684710019425,-0.9999999999999591,-39.30871214846784,-1.2414930463022062,0.0,0.0,0.9866728829918898,8655.503604256688,16362.55,20,True,False,False
