class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_uncorrected_pass,edge_t_bar_source
cme_futures,1d,long,ADX,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,-0.0117015052563012,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,0.2619601171529793,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADXR,19,13.208274429661897,-0.2316043562753036,0.5412137441493965,-1.542941935969991,13,1.0,0.9285714285714286,-0.3050374504914353,-0.431088965915313,-9014.665415435426,0.0,-0.1601984116692403,0.1721799123597595,-0.6083289077441069,-0.5032754813148206,0.941465061865386,185.0,-0.001225473355731,0.5,0.0489072309081485,0.0406908672367078,-0.030116668406259,-0.2930963681076038,-0.0258943050833615,-0.0258943050833616,0.5085372101065242,-1383.9600749359652,11971.771612763256,7069.0363189239615,15085.372101065244,0.2105263157894736,0.476123595505618,0.523876404494382,28.315583688971977,1.0,0.4359201814937912,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADXR,19,13.208274429661897,-0.2316043562753036,0.5412137441493965,-1.542941935969991,13,1.0,0.9285714285714286,-0.0415448891311786,-0.431088965915313,-9014.665415435426,0.0,-0.1601984116692403,0.1721799123597595,-0.6083289077441069,-0.5032754813148206,0.941465061865386,185.0,-0.001225473355731,0.5,0.0489072309081485,0.0406908672367078,-0.030116668406259,-0.2930963681076038,-0.0258943050833615,-0.0258943050833616,0.5085372101065242,-1383.9600749359652,11971.771612763256,7069.0363189239615,15085.372101065244,0.2105263157894736,0.476123595505618,0.523876404494382,28.315583688971977,1.0,0.4359201814937912,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~LINEARREG_100|gate,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,-0.0117015052563012,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX~LINEARREG_100|gate,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,0.2619601171529793,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~LINEARREG_21|and,19,13.208274429661897,-0.0963582856500224,0.6311474604165305,-0.5504652423027677,13,0.5043782837127846,0.9285714285714286,-0.0662720621736644,-0.3777805918872688,-260.04801806362684,0.0,0.0499580777952205,0.1721799123597595,-0.4455393238081502,-0.5032754813148206,1.065885930608856,411.0,0.0005715829997192,0.3834951456310679,0.0282126521885631,0.0162518365845766,0.0351703634690535,0.1898668882257845,0.0132485504177659,0.0131350452726277,0.5085372101065242,5942.224205356698,11971.771612763256,11898.668882257844,15085.372101065244,0.3684210526315789,0.230005837711617,0.2708698190309399,62.4574645634741,1.0,0.5083572220186866,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX~LINEARREG_21|and,19,13.208274429661897,-0.2434065679262258,0.8871672962183526,-0.9892326567758356,13,1.0,0.9285714285714286,0.0843325676687393,-0.0003170295170018,-6311.5627288252,0.0,-0.1266369799468674,0.1721799123597595,-0.7136697406552679,-0.5032754813148206,0.9812186210199184,367.0,-0.0002736719730115,0.3830409356725146,0.037721804128794,0.0237604032741229,-0.0115179851896518,-0.3923530089975342,-0.0400575098621293,-0.0400575098621294,0.5085372101065242,-2135.5048424967504,11971.771612763256,6076.469910024658,15085.372101065244,0.1578947368421052,0.230005837711617,0.7699941622883829,55.97126238681316,1.0,0.714568195954954,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~LINEARREG_21|gate,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,-0.0117015052563012,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX~LINEARREG_21|gate,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,0.2619601171529793,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~LINEARREG_21|or,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,-0.0117015052563012,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX~LINEARREG_21|or,19,13.208274429661897,-0.103887726945569,0.5313820986199648,-0.704902418366071,13,1.0,0.9285714285714286,0.2619601171529793,-0.1322609853860932,-6015.550465155306,0.0,0.1244352176182051,0.1721799123597595,-0.5526977495909147,-0.5032754813148206,1.1512908784973008,205.0,0.0026904367366715,0.5144230769230769,0.0468857075363096,0.0415685607790146,0.0647228743610905,0.2287404569434628,0.015741038365306,0.0157410383653067,0.5085372101065242,3826.554783314706,11971.771612763256,12287.404569434628,15085.372101065244,0.3684210526315789,0.4585522475189725,0.5414477524810274,31.34229130821609,1.0,0.4280012903904096,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~LINEARREG_21|vote,19,13.208274429661897,-0.0963582856500224,0.6311474604165305,-0.5504652423027677,13,0.5043782837127846,0.9285714285714286,-0.0662720621736644,-0.3777805918872688,-260.04801806362684,0.0,0.0499580777952205,0.1721799123597595,-0.4455393238081502,-0.5032754813148206,1.065885930608856,411.0,0.0005715829997192,0.3834951456310679,0.0282126521885631,0.0162518365845766,0.0351703634690535,0.1898668882257845,0.0132485504177659,0.0131350452726277,0.5085372101065242,5942.224205356698,11971.771612763256,11898.668882257844,15085.372101065244,0.3684210526315789,0.230005837711617,0.2708698190309399,62.4574645634741,1.0,0.5083572220186866,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADX~LINEARREG_21|vote,19,13.208274429661897,-0.2434065679262258,0.8871672962183526,-0.9892326567758356,13,1.0,0.9285714285714286,0.0843325676687393,-0.0003170295170018,-6311.5627288252,0.0,-0.1266369799468674,0.1721799123597595,-0.7136697406552679,-0.5032754813148206,0.9812186210199184,367.0,-0.0002736719730115,0.3830409356725146,0.037721804128794,0.0237604032741229,-0.0115179851896518,-0.3923530089975342,-0.0400575098621293,-0.0400575098621294,0.5085372101065242,-2135.5048424967504,11971.771612763256,6076.469910024658,15085.372101065244,0.1578947368421052,0.230005837711617,0.7699941622883829,55.97126238681316,1.0,0.714568195954954,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADX~MININDEX|gate,19,13.208274429661897,-0.1267054291497975,0.5635158005249727,-0.8107011751110947,13,0.852014010507881,0.9285714285714286,-0.0765586565335049,-0.4971526868938004,-7072.858203706443,0.0,0.1099052244721005,0.1721799123597595,-0.5857998242808062,-0.5032754813148206,1.1276591289752955,229.0,0.0019376875456776,0.5045871559633027,0.0388423497648952,0.0340003666864498,0.0569901955336828,0.0753483732230155,0.0055097369798891,0.0036683280883279,0.5085372101065242,2077.983761500252,11971.771612763256,10753.483732230156,15085.372101065244,0.3157894736842105,0.4061371841155234,0.4430823117338003,34.87786932907329,1.0,0.4538833551345595,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
