basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,165,63,trading,retail,11.524010515650172,0.10658948418142589,0.189027431365025,0.5638836829750611,-0.3984471834987912,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.140446524587987,0.06779965912258157,0.136989540041353,0.49492581040942907,-0.38849203491610007,24.999315537303218,0.10639687172520707,0.06767927472646051,0.03871759699874655,0.5370030887380793,0.4186764313220728,-0.39844718349879116,0.26179771618426995,1.3089706617216155,1.8223559109118503,0.038087746902427666,0.17092044682884686,0.8545905351971615,1.4017700480967474
vanguard,honest,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,287,99,63,trading,retail,8.129146999807293,0.09755339465896751,0.16377317733845306,0.5956616110424725,-0.3338668557308016,5.341644528841053,0.08085052653567937,0.19107433125233805,0.4231365144955338,-0.551969547584095,3.3528108401188472,0.06386515757602451,0.13410819440172334,0.47622114264483617,-0.3903299394445309,23.802874743326488,0.09736053256396215,0.06374082092884348,0.033619711635118676,0.5531203637288931,0.4100800123248965,-0.33386685573080166,0.2946376164326856,1.43748359840558,1.8935792413215764,0.01666864541543589,0.0631225366224111,0.30796343041012175,0.48735114277369823
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,91,126,trading,retail,7.38476003655801,0.08894071477034404,0.23070174472027624,0.38552250603125626,-0.3937566175193552,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.0264255291966746,0.05739952041461871,0.1632847623352467,0.3515301709339502,-0.44799143918025863,24.999315537303218,0.08878125919095803,0.05729809407030784,0.03148316512065019,0.4083295763139163,0.3156735970309182,-0.3937566175193552,0.20019151694942697,1.0009438822907895,1.2479917009729335,0.02047213436817863,0.10529624518311416,0.526474018731046,0.7445313645271749
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,118,126,trading,retail,2.1810213756234615,0.04746091046918188,0.1923045259977022,0.2468007979684731,-0.4127787642156162,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,1.9976821365131414,0.04497230571877786,0.16060524548360647,0.2800176643257168,-0.5283504906564117,24.999315537303218,0.04737743691278706,0.04489330223164267,0.00248413468114439,0.24582577686341947,0.2445410135729399,-0.4127787642156162,0.04906554453727467,0.24532436430989304,0.19763666802907676,-0.020931687909992336,-0.1048818782156128,-0.5244022122556066,-0.602349038125023
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,127,126,trading,retail,1.9055916952446266,0.04366661861401,0.18825734360350446,0.23195174104856078,-0.4154608303101389,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.010737086542687,0.06670672270341105,0.13663783096579657,0.4882009779568968,-0.3884920349161005,24.999315537303218,0.04358995635638929,0.06658833878409665,-0.022998382427707353,0.22783881066854797,0.4119084408210847,-0.4154608303101389,-0.08669365661167644,-0.43346234916036674,-0.591210108047683,-0.024719168466390107,-0.1331649553508678,-0.6658156620475062,-0.7435568768206207
vanguard,honest,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,287,69,126,trading,retail,4.345796201316415,0.07310671798751978,0.17078180925647707,0.4280708718674447,-0.3555530360018493,5.341644528841053,0.08085052653567937,0.19107433125233805,0.4231365144955338,-0.551969547584095,2.954570974366757,0.059577256559753655,0.13489369017391223,0.4416608106942841,-0.3789217189759543,23.802874743326488,0.07296378043602392,0.05946149907152565,0.01350228136449827,0.405712570295497,0.37855582408859484,-0.3555530360018493,0.1526372926333287,0.7446897219777475,0.8861293987788538,-0.007728106712502347,-0.06778710074019874,-0.33072099441099273,-0.33266227043165847
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,81,189,trading,retail,2.5478467354720093,0.052051673274162935,0.22813444537688332,0.22816227154199525,-0.5923893956918234,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.096560437426331,0.058131447195606256,0.1662532155653643,0.3496560773150955,-0.4735446679498162,24.999315537303218,0.051959927123169436,0.05802869236787922,-0.006068765244709784,0.2593889218816652,0.31707239961737455,-0.5923893956918234,0.030107785450733237,0.15053686647395845,0.12980926976086904,-0.016349197699609963,-0.031768639905374846,-0.15884102506709646,-0.12051162259577536
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,98,189,trading,retail,1.5478411604269824,0.03818634205694926,0.18798214288121642,0.20313813573813091,-0.4904130522197205,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.2468001303049765,0.04832032337017722,0.15575643449085627,0.3102300301629842,-0.5236647451925409,24.999315537303218,0.038119475884201615,0.048235303765833626,-0.010115827881632011,0.19979308875872742,0.2678070105279314,-0.49041305221972054,-0.0252234710651569,-0.12611562886146466,-0.22290191782972008,-0.030189648938577784,-0.14809682328764734,-0.7404739796937487,-0.9038882933527039
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,104,189,trading,retail,2.182167760833736,0.04747603373719245,0.1895195227017849,0.2505073517512891,-0.34956507689567473,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.015648291288779,0.06674859687028833,0.13542611784785225,0.4928783157269461,-0.38849203491610057,24.999315537303218,0.047392532985123026,0.06663013634118142,-0.019237603356058397,0.24682948892232415,0.41468302161258896,-0.34956507689567473,-0.06294096549567713,-0.3147005193745999,-0.4799973348985721,-0.020916591837656373,-0.11617911156218226,-0.5808876057296809,-0.6519243741221833
vanguard,honest,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,287,75,189,trading,retail,1.7848735107781875,0.04405263815867455,0.16717893993880345,0.26350590675356717,-0.33705401652630795,5.341644528841053,0.08085052653567937,0.19107433125233805,0.4231365144955338,-0.551969547584095,2.4438697046506577,0.05342819792479636,0.13663177344981992,0.39103787190772776,-0.44212896195629725,23.802874743326488,0.04396766761045279,0.053324686273217736,-0.009357018662764949,0.24654725962376345,0.33289766204575055,-0.33705401652630795,-0.036951601047896465,-0.1802801729266401,-0.35126021082750053,-0.03672421953807348,-0.2427762768331424,-1.184461509887846,-1.4935160682715227
