rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
TEMA_50,MA,pessimistic,-1.250842014025023,-60.615211584495945,89.70073955064109,3.94299710257669
TEMA_50,CVX,gross,-0.5760251875797664,-32.6018400094082,55.113152985377425,3.93409599623073
TEMA_50,CVX,retail,-0.604813849361008,-35.42547128697744,55.113152985377425,3.93409599623073
TEMA_50,CVX,wide,-0.6457935543238501,-39.27630085561918,55.113152985377425,3.93409599623073
TEMA_50,CVX,pessimistic,-0.7476877379537272,-47.93115531953658,55.113152985377425,3.93409599623073
TEMA_50,ABBV,gross,-1.1648306576795222,-61.3338332677285,112.20833446193646,3.9468345693431877
TEMA_50,ABBV,retail,-1.1937094367573162,-62.997205725114604,112.20833446193646,3.9468345693431877
TEMA_50,ABBV,wide,-1.2344747442922583,-65.25840521258566,112.20833446193646,3.9468345693431877
TEMA_50,ABBV,pessimistic,-1.3357834284013446,-70.32678802041295,112.20833446193646,3.9468345693431877
TEMA_50,PEP,gross,-0.15311425768537548,-13.948574627418042,0.9429996036609545,3.938333040922416
TEMA_50,PEP,retail,-0.19334094846011018,-17.52451199203643,0.9429996036609545,3.938333040922416
TEMA_50,PEP,wide,-0.25051867892053015,-22.38021520602317,0.9429996036609545,3.938333040922416
TEMA_50,PEP,pessimistic,-0.39242450675532076,-33.308722948991885,0.9429996036609545,3.938333040922416
TEMA_50,KO,gross,-0.6381100274229273,-7.684262373414108,64.97306921003172,3.937272924356892
TEMA_50,KO,retail,-0.6798620781174272,-11.214950685869251,64.97306921003172,3.937272924356892
TEMA_50,KO,wide,-0.7381425903331288,-15.977780390661522,64.97306921003172,3.937272924356892
TEMA_50,KO,pessimistic,-0.882516495053177,-26.80019591077396,64.97306921003172,3.937272924356892
TEMA_50,WMT,gross,-0.8122343496802666,4.329472677896651,195.89840239101872,3.9417250170039186
TEMA_50,WMT,retail,-0.8390044008923835,0.6929532025423901,195.89840239101872,3.9417250170039186
TEMA_50,WMT,wide,-0.8760418372200613,-4.195002969264971,195.89840239101872,3.9417250170039186
TEMA_50,WMT,pessimistic,-0.9680968279608165,-15.405356560516925,195.89840239101872,3.9417250170039186
TEMA_9,AAPL,gross,-0.041527052135725044,119.09142788633993,133.79506822826008,3.95109911236787
TEMA_9,AAPL,retail,-0.0919707727036699,102.0674492905989,133.79506822826008,3.95109911236787
TEMA_9,AAPL,wide,-0.16657954361042496,79.18949235002282,133.79506822826008,3.95109911236787
TEMA_9,AAPL,pessimistic,-0.3517871887463371,32.680610576833914,133.79506822826008,3.95109911236787
TEMA_9,MSFT,gross,-0.20924965605196022,35.117983063295696,93.53173619838225,3.8707593561206077
TEMA_9,MSFT,retail,-0.25923605413755924,23.923473481101976,93.53173619838225,3.8707593561206077
TEMA_9,MSFT,wide,-0.3334815780938456,8.916243934661727,93.53173619838225,3.8707593561206077
TEMA_9,MSFT,pessimistic,-0.5179272464302802,-21.133732115496407,93.53173619838225,3.8707593561206077
TEMA_9,AMZN,gross,-0.5078764288831052,-3.686378273501778,155.54299708015532,3.960508725278532
TEMA_9,AMZN,retail,-0.5526897067704221,-11.803705350053828,155.54299708015532,3.960508725278532
TEMA_9,AMZN,wide,-0.6189997058970386,-22.653922524658256,155.54299708015532,3.960508725278532
TEMA_9,AMZN,pessimistic,-0.7836675864321789,-44.299620922810824,155.54299708015532,3.960508725278532
TEMA_9,NVDA,gross,-0.5624204318797158,178.34159522664902,1158.3885199954052,3.9269025216404874
TEMA_9,NVDA,retail,-0.592312056122333,156.262686358889,1158.3885199954052,3.9269025216404874
TEMA_9,NVDA,wide,-0.6364497164177413,126.6076034805098,1158.3885199954052,3.9269025216404874
TEMA_9,NVDA,pessimistic,-0.7462824632742074,66.60966327046927,1158.3885199954052,3.9269025216404874
TEMA_9,GOOGL,gross,-0.34372533324647975,79.63581894606244,233.8216813324925,3.938539355621642
TEMA_9,GOOGL,retail,-0.3868877355085521,65.96492312206897,233.8216813324925,3.938539355621642
TEMA_9,GOOGL,wide,-0.4505273396965882,47.57169522139999,233.8216813324925,3.938539355621642
TEMA_9,GOOGL,pessimistic,-0.6085897164739373,10.008282223146804,233.8216813324925,3.938539355621642
TEMA_9,META,gross,-0.7983324244629632,-42.13270250627911,238.41145694561567,3.9342998084142984
TEMA_9,META,retail,-0.8361864875634153,-46.92493475084384,238.41145694561567,3.9342998084142984
TEMA_9,META,wide,-0.8920667836352922,-53.33369498039221,238.41145694561567,3.9342998084142984
TEMA_9,META,pessimistic,-1.0310468611502126,-66.1750968704192,238.41145694561567,3.9342998084142984
TEMA_9,TSLA,gross,-0.013906041182238215,36.39649272936061,43.30106959364544,3.933038159178772
TEMA_9,TSLA,retail,-0.04031968878593476,25.13847040522692,43.30106959364544,3.933038159178772
TEMA_9,TSLA,wide,-0.07955606670937947,10.06537790476536,43.30106959364544,3.933038159178772
