class,tf,rule,symbol,mult,excess_cagr,ir
us_stocks,1d,ibs,AIG,0.5,0.04584109509361067,-0.047037472470655005
us_stocks,1d,ibs,AIG,1.0,0.04416826588664324,-0.051718765016378405
us_stocks,1d,ibs,AIG,2.0,0.04083126930646841,-0.061084031561125185
us_stocks,1d,ibs,AIG,3.0,0.03750578925740178,-0.07045284520078413
us_stocks,1d,ibs,AIG,5.0,0.030889222949298634,-0.08920097815624356
us_stocks,1d,ibs,AIG,10.0,0.01454663344799767,-0.1361310031911523
us_stocks,1d,ibs,AIV,0.0,0.03980844980085996,-0.012313546007019541
us_stocks,1d,ibs,AIV,0.5,0.037812837932931664,-0.018862926977840595
us_stocks,1d,ibs,AIV,1.0,0.03582079770031554,-0.025414722407665666
us_stocks,1d,ibs,AIV,2.0,0.03184740705673361,-0.038525516209401804
us_stocks,1d,ibs,AIV,3.0,0.027888227809603316,-0.051645846299836526
us_stocks,1d,ibs,AIV,5.0,0.02001230412407029,-0.07791478896484486
us_stocks,1d,ibs,AIV,10.0,0.0005677231565321961,-0.143748278795287
us_stocks,1d,ibs,AIZ,0.0,-0.0008085615306521188,-0.11771824075086565
us_stocks,1d,ibs,AIZ,0.5,-0.0029251399547631785,-0.12614139074293934
us_stocks,1d,ibs,AIZ,1.0,-0.005037824582343475,-0.13456829106575988
us_stocks,1d,ibs,AIZ,2.0,-0.009251540570153205,-0.1514332586863705
us_stocks,1d,ibs,AIZ,3.0,-0.013449765613928522,-0.16831297496701697
us_stocks,1d,ibs,AIZ,5.0,-0.02179996635525039,-0.20211597406402368
us_stocks,1d,ibs,AIZ,10.0,-0.042408266970191066,-0.2868695823070079
us_stocks,1d,ibs,AJG,0.0,-0.03948505765163812,-0.29209035687918783
us_stocks,1d,ibs,AJG,0.5,-0.041415604785012716,-0.30238019186644494
us_stocks,1d,ibs,AJG,1.0,-0.04334278996379015,-0.3126754307832542
us_stocks,1d,ibs,AJG,2.0,-0.0471870974176416,-0.33328195451399184
us_stocks,1d,ibs,AJG,3.0,-0.051018025837243686,-0.3539095948463438
us_stocks,1d,ibs,AJG,5.0,-0.05863992810365115,-0.3952268809701801
us_stocks,1d,ibs,AJG,10.0,-0.07746372895658249,-0.49886587477574207
us_stocks,1d,ibs,AKAM,0.0,-0.01183056437338914,-0.19457057339506534
us_stocks,1d,ibs,AKAM,0.5,-0.013944628121737468,-0.20007048082499362
us_stocks,1d,ibs,AKAM,1.0,-0.01605497500019437,-0.20557190334316733
us_stocks,1d,ibs,AKAM,2.0,-0.020264543783786504,-0.21657926854966852
us_stocks,1d,ibs,AKAM,3.0,-0.024459321888436802,-0.22759261871226208
us_stocks,1d,ibs,AKAM,5.0,-0.03280470985362549,-0.24963707179528294
us_stocks,1d,ibs,AKAM,10.0,-0.05341289122408588,-0.30484938556292135
us_stocks,1d,ibs,ALB,0.0,0.048060571821525455,-0.002213199877366403
us_stocks,1d,ibs,ALB,0.5,0.04594367847659253,-0.008545758748242527
us_stocks,1d,ibs,ALB,1.0,0.043830576567144286,-0.014880627600025731
us_stocks,1d,ibs,ALB,2.0,0.039615720407097044,-0.027557259049767156
us_stocks,1d,ibs,ALB,3.0,0.03541595016106358,-0.04024302161787378
us_stocks,1d,ibs,ALB,5.0,0.02706145560554374,-0.06564164795570554
us_stocks,1d,ibs,ALB,10.0,0.006435535219300181,-0.1292928599018993
us_stocks,1d,ibs,ALGN,0.0,-0.01801749370593786,-0.23366222795106656
us_stocks,1d,ibs,ALGN,0.5,-0.020034399439051498,-0.23816411495323994
us_stocks,1d,ibs,ALGN,1.0,-0.0220479041319106,-0.242666973506865
us_stocks,1d,ibs,ALGN,2.0,-0.026064732878591457,-0.2516755905739784
us_stocks,1d,ibs,ALGN,3.0,-0.030068024818374228,-0.26068804971152176
us_stocks,1d,ibs,ALGN,5.0,-0.038034177040840556,-0.2787243760208452
us_stocks,1d,ibs,ALGN,10.0,-0.05771577668866823,-0.3238803513253099
us_stocks,1d,ibs,ALK,0.0,0.10440066739497511,0.14437461368123616
us_stocks,1d,ibs,ALK,0.5,0.10214938158100595,0.13815269392752771
us_stocks,1d,ibs,ALK,1.0,0.09990221553476486,0.13192844661550773
us_stocks,1d,ibs,ALK,2.0,0.09542021314744042,0.11947300228292614
us_stocks,1d,ibs,ALK,3.0,0.09095460116743559,0.10700834681661679
us_stocks,1d,ibs,ALK,5.0,0.08207231320730712,0.08205166861285568
us_stocks,1d,ibs,ALK,10.0,0.06014933074381679,0.01950346883801849
us_stocks,1d,ibs,ALL,0.0,0.06491832029239353,0.1712102320486023
us_stocks,1d,ibs,ALL,0.5,0.06270331635248017,0.16202600103544626
us_stocks,1d,ibs,ALL,1.0,0.06049240290654967,0.1528374452147443
us_stocks,1d,ibs,ALL,2.0,0.05608281783900715,0.13444747156300585
us_stocks,1d,ibs,ALL,3.0,0.05168950590647037,0.11604053674365948
us_stocks,1d,ibs,ALL,5.0,0.042951465765093566,0.07917669275956858
us_stocks,1d,ibs,ALL,10.0,0.021387042788198585,-0.013263692049833997
us_stocks,1d,ibs,ALLE,0.0,-0.00994310943559884,-0.1408310535732164
