basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,source,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,137,63,trading,retail,alt,12.292578190353492,0.10923350830448775,0.2007047061099776,0.544249860512152,-0.5471448817412895,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.4921538634416356,0.051384890565427055,0.1666137574774012,0.3084072488575662,-0.5695371406005749,24.999315537303218,0.10903588672224629,0.05129434809959177,0.05774153862265452,0.5290027175460215,0.2782609401017948,-0.5471448817412896,0.3285316547883501,1.6426357870215933,2.114826735758288,0.04072676189946689,0.18153793913566166,0.9076772699985196,1.2767979434074366
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,165,63,trading,retail,twelvedata,11.524010515650172,0.10658948418142589,0.189027431365025,0.5638836829750611,-0.3984471834987912,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.140446524587987,0.06779965912258157,0.136989540041353,0.49492581040942907,-0.38849203491610007,24.999315537303218,0.10639687172520707,0.06767927472646051,0.03871759699874655,0.5370030887380793,0.4186764313220728,-0.39844718349879116,0.26179771618426995,1.3089706617216155,1.8223559109118503,0.038087746902427666,0.17092044682884686,0.8545905351971615,1.4017700480967474
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,136,66,trading,retail,alt,12.100329223661447,0.108586172501272,0.20535133281685009,0.5287824092094813,-0.5245128302411756,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.498602773883782,0.05146262062703921,0.166714303858353,0.30868749373037524,-0.5687422110134249,24.999315537303218,0.10838977830261975,0.05137193787919392,0.057017840423425836,0.5187154893456607,0.27863662254736943,-0.5245128302411756,0.33210509520401027,1.6605027445095537,2.153362270450952,0.040080653479840356,0.1845381758305788,0.9226782481166897,1.2683096948123302
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,152,66,trading,retail,twelvedata,6.980013469015642,0.08678404073278001,0.1911019300537402,0.45412435504118287,-0.39361929808808926,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.140446524587987,0.06779965912258157,0.136989540041353,0.49492581040942907,-0.38849203491610007,24.999315537303218,0.0866286034264796,0.06767927472646051,0.018949328700019086,0.4386285390759269,0.4186764313220728,-0.39361929808808926,0.15274355608016787,0.7637073256026485,0.9178162703131646,0.0183194786037002,0.08002609184748037,0.4001249817124461,0.6202451145416248
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,133,70,trading,retail,alt,9.107485167051633,0.09712475096094364,0.2044537533618244,0.4750450865485494,-0.5478937822464475,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.484106828447555,0.05128770450414044,0.1673339603075568,0.30649907771186774,-0.5772563610136527,24.999315537303218,0.09694998050612713,0.0511973374193313,0.04575264308679583,0.4693502874254382,0.2772282418705536,-0.5478937822464474,0.2762721848057176,1.3813420140986896,1.8336722966684977,0.028640855683347732,0.134831523924304,0.6741483908435043,0.970166881776066
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,147,70,trading,retail,twelvedata,5.7234657189314175,0.07934834278417591,0.19089386097011304,0.41566733671230494,-0.4916207627674569,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.216131006057374,0.06842521226662313,0.1373586007797709,0.4981501841033623,-0.3884920349161007,24.999315537303218,0.07920670313945899,0.06830368201380388,0.01090302112565511,0.40294204945312845,0.4221781071717295,-0.4916207627674569,0.10728129561330386,0.5363991350117675,0.6704580221449864,0.01089757831667959,0.04597440286587269,0.22986886753144778,0.41264751712082354
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,121,80,trading,retail,alt,6.097385380735255,0.08169166004616168,0.20874787784183318,0.39134127202030233,-0.5588466920539366,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.469368539056845,0.05110914644691622,0.16736959943928578,0.30536696400146635,-0.5772563610136527,24.999315537303218,0.08154568160273823,0.05101910154607392,0.03052658005666431,0.39618298941398095,0.27619120635909494,-0.5588466920539366,0.20515044357453055,1.025738175993955,1.3886998241191495,0.01323655677995883,0.07391859457991143,0.36958791341286773,0.5831742114740412
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,149,80,trading,retail,twelvedata,3.4265275936755915,0.06142112713955106,0.18460314469221656,0.3327198311922406,-0.38353924462652844,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.216131006057374,0.06842521226662313,0.1373586007797709,0.4981501841033623,-0.3884920349161007,24.999315537303218,0.061312390663244454,0.06830368201380388,-0.006991291350559425,0.3197817662196247,0.4221781071717295,-0.38353924462652844,0.006095760814071427,0.03047838683541272,-0.047601982858045774,-0.006996734159534945,-0.04013210680326419,-0.2006577871045142,-0.2311849282900453
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,132,90,trading,retail,alt,4.816226309184325,0.07309741524079083,0.20765551283695058,0.35201288057392593,-0.5274970789514517,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.125691726984853,0.046724703236295406,0.1677143859813354,0.2785968714782482,-0.571295497117437,24.999315537303218,0.0729673068352159,0.04664255312401955,0.026324753711196358,0.35870921221794433,0.2510516811845602,-0.5274970789514517,0.18002160181543664,0.9000956871857381,1.1083945569559317,0.004658182012436507,0.033949494486310024,0.16974514869938986,0.2588302298891561
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,135,90,trading,retail,twelvedata,2.7022245354170886,0.05384874285312469,0.18498705688232642,0.29109465148893543,-0.36943727716239433,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.9056696704530705,0.0658013246215492,0.13739049558871044,0.4789365111436149,-0.3884920349160995,24.999315537303218,0.05375374899896079,0.06568459645987557,-0.011930847460914773,0.2808360327921517,0.40422457000418854,-0.3694372771623944,-0.021442474388343662,-0.10721090427428805,-0.23199715737868473,-0.014555375823818606,-0.07665891454592688,-0.38328932567698176,-0.47357653057409266
