class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
crypto,1d,long,MAXINDEX~MULT|and,10,5.925313475391181,-0.015827445833333332,0.24243756429613708,-0.15991402295994803,6,0.4240941750064152,1.0,0.33705794622887497,0.0896679450612149,4122.273484907769,1.5,0.7200832644908126,0.6886287265406748,-0.8574589542122302,-0.8671807197707126,2.010927803477324,92.0,60399.29740323749,68337.69123629059,41261.63227273263,43840.8064757515,0.7,0.4240941750064152,0.0,32.48767824911452,1.6603869972615952,0.3066657017882595,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,MAXINDEX~ATAN|and,10,5.925313475391181,-0.017851479166666653,0.28921181788560196,-0.1511937355532056,6,0.43806710289966644,1.0,0.2839974973337617,0.02496898534601949,4174.836152775686,1.5,0.6712616809791443,0.6886287265406748,-0.8282380095387631,-0.8671807197707126,1.7760178663359243,112.0,76068.90177481345,68337.69123629059,30310.677269372252,43840.8064757515,0.5,0.43806710289966644,0.0,37.80249777138267,1.6391754346716023,0.3658316950792745,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,trend_factor,10,5.925313475391181,-0.03691324583333332,0.4090624012606616,-0.2210386893611558,6,0.4056896330510649,1.0,0.34452048302600397,0.13708796483804458,9505.851333762088,0.75,0.7477758039026977,0.6886287265406748,-0.7895404735594618,-0.8671807197707126,1.7340656582343228,171.5,68778.90167185488,68337.69123629059,41550.998514554405,43840.8064757515,0.6,0.4056896330510649,0.0,58.19549639427156,1.8456065536571433,0.517433875076224,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,faber_gtaa,10,5.925313475391181,-0.1870250708333333,0.4416477899357158,-1.0372880903949013,6,0.5077886836027714,1.0,0.1878248390136777,0.06925012664285658,5565.003164604477,2.0,0.7227845821494978,0.6886287265406748,-0.7934172801042484,-0.8671807197707126,5.049332069313874,22.0,57154.13567079798,68337.69123629059,48627.105891823456,43840.8064757515,0.7,0.5077886836027714,0.0,7.594318793732064,2.0,0.5586519970083206,False,False,True,True,True,False,3,6,False,True,underpowered,False
crypto,1d,long,golden_cross,10,5.925313475391181,-0.20659248333333338,0.4723284408045419,-1.0713861905057627,6,0.5466666666666666,1.0,0.17480238500776282,-0.048239984074989986,6258.592621567563,5.0,0.6897809967810127,0.6886287265406748,-0.7587182780646977,-0.8671807197707126,16.45458214920859,4.5,73330.87916127517,68337.69123629059,76775.37542466365,43840.8064757515,0.6,0.5466666666666666,0.0,1.350100968037567,2.0,0.5974607655971537,False,False,True,False,True,True,3,6,False,True,underpowered,False
crypto,1d,long,momo_regime,10,5.925313475391181,-0.2269434517857143,0.4775231435360304,-1.164122964228585,6,0.4501154734411085,1.0,0.10501522090261875,-0.05492381423404147,9544.011898021998,5.0,0.6883750150993162,0.6886287265406748,-0.7562942979855725,-0.8671807197707126,5.5626518111985845,22.0,62644.573528223686,68337.69123629059,64026.63566746474,43840.8064757515,0.5,0.4501154734411085,0.0,7.679019158149234,2.0,0.6040316827871458,False,False,True,False,True,True,3,6,False,True,underpowered,False
crypto,1d,long,TEMA_1000,10,5.925313475391181,1.8367140000000002,,,1,0.003002309468822171,0.16666666666666666,-0.16603562370885624,0.2276582067353802,-30753.207758959674,0.0,0.30087954976274206,0.6886287265406748,-0.024940979925618778,-0.8671807197707126,0.0,0.5,3159.95881348308,68337.69123629059,11962.186576854325,43840.8064757515,0.0,0.0,0.003002309468822171,0.08437921605537625,2.0,,True,False,False,True,False,False,2,6,False,False,unrankable,False
crypto,1d,long,CDLTRISTAR,10,5.925313475391181,0.67423425,,,2,0.0,0.3333333333333333,0.15187889570584512,-5.298185284298462,-28255.417812602573,0.0,0.5105426330357806,0.6886287265406748,0.0,-0.8671807197707126,0.0,0.0,6274.021272378937,68337.69123629059,11962.2433201975,43840.8064757515,0.1,0.0,0.0,0.0,2.0,,True,False,True,False,False,False,2,6,False,False,unrankable,False
crypto,1d,long,CDLUNIQUE3RIVER,10,5.925313475391181,0.667996,,,2,0.0,0.3333333333333333,0.19476397768376563,-10.995180085050404,-29486.828480153286,0.0,0.55448700619945,0.6886287265406748,0.0,-0.8671807197707126,,0.0,2855.783446488588,68337.69123629059,11962.26771144009,43840.8064757515,0.1,0.0,0.0,0.0,2.0,,True,False,True,False,False,False,2,6,False,False,unrankable,False
crypto,1d,long,volmanaged,10,5.925313475391181,0.06044813333333333,0.09726585853228596,1.5222924549752597,6,0.9460738711869927,1.0,-0.014151490701837188,-0.01567602013613628,6025.977002417641,10.0,0.6497866188156447,0.6886287265406748,-0.8237397762562384,-0.8671807197707126,1.336440121698517,638.0,74865.32908131092,68337.69123629059,52647.32337571577,43840.8064757515,0.4,1.0,0.0,2.021530340464997,1.062564756456385,0.1230341628511251,False,False,False,False,True,True,2,6,False,True,underpowered,False
