class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,ADS,0.4737078651685393,const,0.08490827894913155,-0.07749884815174202,-0.669044957673541,0.13554597173097568,-0.31723632316107475,0.26764992767243717,0.0,0.47370786516853924
us_stocks,1d,ibs,ADSK,0.0,floor,0.06242949242831042,-0.09793378905752714,-0.46415973966694973,0.26473859087979656,-0.5799998587538944,0.10763708212349843,56.11323326565956,0.43639427127211455
us_stocks,1d,ibs,ADSK,0.25,floor,0.09345414355737636,-0.0669091379284612,-0.46415973966694957,0.2730783210620814,-0.6318582915368894,0.14790364360031552,42.08492494924467,0.577295703454086
us_stocks,1d,ibs,ADSK,0.5,floor,0.12035232327058742,-0.040010958215250136,-0.46415973966694984,0.2966494303270595,-0.6808922385079877,0.1767567853825309,28.05661663282978,0.7181971356360572
us_stocks,1d,ibs,ADSK,0.75,floor,0.14276221985242676,-0.017601061633410797,-0.46415973966694946,0.33222562625250857,-0.7264564860206959,0.19651861136849927,14.02830831641489,0.8590985678180286
us_stocks,1d,ibs,ADSK,1.0,floor,0.16036328148583756,0.0,,0.37641827281707896,-0.7692006314811786,0.2084804340020377,0.0,1.0
us_stocks,1d,ibs,ADSK,0.43639427127211455,const,0.08588488292446761,-0.07447839856136995,-0.5838187359939164,0.1642667778595172,-0.4416539364000962,0.1944619437211675,0.0,0.4363942712721147
us_stocks,1d,ibs,AEE,0.0,floor,0.0615975685375838,-0.02105970308547933,-0.20583549167490703,0.14669768439152395,-0.3521314900906112,0.17492774793226643,55.138456554851274,0.41870261162594774
us_stocks,1d,ibs,AEE,0.25,floor,0.06924551148573577,-0.013411760137327366,-0.20583549167490695,0.15173555098173588,-0.3805196735876152,0.1819761665221546,41.353842416138455,0.5640269587194608
us_stocks,1d,ibs,AEE,0.5,floor,0.07533398099804156,-0.007323290625021572,-0.20583549167490717,0.16582809776276652,-0.44900969887169073,0.16777807069055994,27.569228277425637,0.7093513058129739
us_stocks,1d,ibs,AEE,0.75,floor,0.07981812553612833,-0.0028391460869348073,-0.20583549167490703,0.18693863253350076,-0.5323404155144646,0.1499381283290138,13.784614138712818,0.854675652906487
us_stocks,1d,ibs,AEE,1.0,floor,0.08265727162306313,0.0,,0.2129905171817837,-0.6062236776250244,0.1363478113340704,0.0,1.0
us_stocks,1d,ibs,AEE,0.41870261162594774,const,0.03956588490329338,-0.04309138671976975,-0.47976827378793163,0.08917968579557414,-0.3039765602573371,0.13016097316779338,0.0,0.4187026116259477
us_stocks,1d,ibs,AEP,0.0,floor,0.08036115966250068,-0.02830391647806474,-0.24863703152423625,0.14919220465821803,-0.3172058551870882,0.2533407197515431,53.146521537112605,0.43521482729570343
us_stocks,1d,ibs,AEP,0.25,floor,0.08962202201826153,-0.019043054122303893,-0.24863703152423608,0.15379559376524793,-0.3172058551870881,0.28253583769884205,39.85989115283446,0.5764111204717776
us_stocks,1d,ibs,AEP,0.5,floor,0.09744708374135991,-0.011217992399205512,-0.24863703152423636,0.16675591667363923,-0.32043084999017657,0.30411267749140675,26.573260768556302,0.7176074136478517
