class,tf,alpha,vwap_proxy,ic_mean,ic_std,icir,ic_t,ic_days,ic_hit,exposure,turnover_yr,gross_cagr,net_cagr,gross_sharpe,net_sharpe,net_sharpe_openfill,net_cagr_openfill,bench_sharpe,bench_sharpe_openfill,bench_cagr,sharpe_edge,sharpe_edge_openfill,formula,excluded_because
us_stocks,1d,alpha013,False,0.002372037119810876,0.11023328531829155,0.021518338249302566,1.5232491039708884,5011,0.5032927559369388,0.08319010292334714,124.96762251364083,0.05758877594072587,0.051002135199275545,0.3703969814800804,0.340824439311621,0.3282723161232721,0.04786025120689885,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.14413443453804614,-0.32474717469706915,"(-1 * rank(covariance(rank(close), rank(volume), 5)))",
us_stocks,1d,alpha014,False,0.0043579687139254555,0.13834544094173315,0.031500631204470976,2.2254254028171627,4991,0.5179322781005811,0.07807865809020333,174.53802615644142,0.11389587591252615,0.10422160345538178,0.6179574069211955,0.5764842737496657,0.45616684988054096,0.07595496032935678,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.09152539989999858,-0.19685264093980032,"((-1 * rank(delta(returns, 3))) * correlation(open, volume, 10))",
us_stocks,1d,alpha015,False,0.005184308213963548,0.17720409191257033,0.029256142778697248,2.0395539676108947,4860,0.5148148148148148,0.03260083276185847,188.6895206319106,0.0688937548785038,0.05885866518693539,0.41369085089809166,0.3706293279386757,0.36998548399926934,0.058695367158256184,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.11432954591099143,-0.28303400682107194,"(-1 * sum(rank(correlation(rank(high), rank(volume), 3)), 3))",
us_stocks,1d,alpha016,False,0.0031121243740053132,0.10969682894646202,0.028370230971072084,2.0082837441006087,5011,0.5110756336060667,0.08327835600424772,132.95403926332318,0.06686181015119863,0.05979474436522891,0.4151616122957016,0.3831591429650954,0.4185202089032502,0.06749856163484447,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.10179973088457173,-0.23449928191709107,"(-1 * rank(covariance(rank(high), rank(volume), 5)))",
us_stocks,1d,alpha017,False,0.0014473274616721098,0.15671272089048607,0.009235545483787055,0.6487929618842947,4935,0.5013171225937183,0.07708544923711722,275.95111687723465,0.04772644592511455,0.03337075353377261,0.32096098699478487,0.2587930981000888,0.33650421489531057,0.05146605593532172,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.2261657757495783,-0.3165152759250307,"(((-1 * rank(ts_rank(close, 10))) * rank(delta(delta(close, 1), 1))) * rank(ts_rank((volume / adv20), 5)))",
us_stocks,1d,alpha018,False,0.009907290505381066,0.16473723718704167,0.060139957878086715,4.2487081962742534,4991,0.5271488679623322,0.07807865809020333,232.61372223166558,0.08431012035486485,0.07177514227892856,0.4805748492658016,0.4272081304628054,0.4920798222953578,0.08595432350871168,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.0577507433868617,-0.16093966852498348,"(-1 * rank(((stddev(abs((close - open)), 5) + (close - open)) + correlation(close, open, 10))))",
us_stocks,1d,alpha019,False,0.009477894693568712,0.18022107990017133,0.05259037787820792,3.3373142754789917,4027,0.5333995530171344,0.06100168693593984,94.04117632814355,0.08628697481834235,0.08119220192035659,0.5503103722048921,0.5241406185570705,0.5747793135453996,0.09067920680103159,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.039181744707403376,-0.0782401772749417,"((-1 * sign(((close - delay(close, 7)) + delta(close, 7)))) * (1 + rank((1 + sum(returns, 250)))))",
us_stocks,1d,alpha020,False,0.000523409235505808,0.1635471587257353,0.0032003566407628812,0.24731945304578112,5972,0.4983255190890824,0.10023596848352272,317.93238196423636,0.07472169147690533,0.05777345663412259,0.4273725127112842,0.358604095188817,0.34516430668353787,0.053912474230945806,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.12635477866085015,-0.3078551841368034,"(((-1 * rank((open - delay(high, 1)))) * rank((open - delay(close, 1)))) * rank((open - delay(low, 1))))",
us_stocks,1d,alpha021,False,0.011086075599296343,0.15203412218361154,0.07291833859446167,5.121442753947032,4933,0.5296979525643625,0.3006102483528503,83.62591385646017,0.10137237455190551,0.09677883478956772,0.5684522450800283,0.5483611256468816,0.6124165418444816,0.11056726471781442,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.06340225179721443,-0.0406029489758597,"((((sum(close, 8) / 8) + stddev(close, 8)) < (sum(close, 2) / 2)) ? (-1 * 1) : (((sum(close, 2) / 2) < ((sum(close, 8) / 8) - stddev(close, 8))) ? 1 : (((1 < (volume / adv20)) || ((volume / adv20) == 1)) ? 1 : (-1 * 1))))",
us_stocks,1d,alpha022,False,-0.0012161594925433868,0.1285695281717803,-0.009459158090076287,-0.6655779826199171,4951,0.5007069278933549,0.07735527218118213,148.36904589757876,0.041960260347565725,0.03425963081650285,0.2972790671437364,0.2633335182487714,0.31269526056112995,0.045612607719908826,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.22162535560089575,-0.3403242302592113,"(-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close, 20))))",
