rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
STDDEV,BTC/USD,binance,-1.9999871050311593,-96.44633885525823,275.7583618315889,3.574504278177206
STDDEV,BTC/USD,kraken,-3.871473753121786,-99.95864536159874,275.7583618315889,3.574504278177206
STDDEV,BTC/USD,coinbase,-7.502611881290467,-99.99999643914042,275.7583618315889,3.574504278177206
STDDEV,ETH/USD,gross,-0.32485461465523424,-45.66572982364142,46.82026269964654,3.5781930759196974
STDDEV,ETH/USD,binance,-1.2971575063068492,-97.23638373629208,46.82026269964654,3.5781930759196974
STDDEV,ETH/USD,kraken,-2.7399983598581636,-99.96868716182452,46.82026269964654,3.5781930759196974
STDDEV,ETH/USD,coinbase,-5.621940982202359,-99.99999745104404,46.82026269964654,3.5781930759196974
STDDEV,XRP/USD,gross,0.3041674241350016,850.8885182391263,214.7212634936457,3.576451983779322
STDDEV,XRP/USD,binance,-0.5141951726366012,-53.04119100941127,214.7212634936457,3.576451983779322
STDDEV,XRP/USD,kraken,-1.7350495806607966,-99.49103787575784,214.7212634936457,3.576451983779322
STDDEV,XRP/USD,coinbase,-4.216043572699148,-99.99996225856566,214.7212634936457,3.576451983779322
STDDEV,BNB/USD,gross,-0.858827661229491,-75.45645340077532,127.98769634427396,3.577695448066847
STDDEV,BNB/USD,binance,-2.088268985780298,-99.00269930185554,127.98769634427396,3.577695448066847
STDDEV,BNB/USD,kraken,-3.904389687744165,-99.9919388871632,127.98769634427396,3.577695448066847
STDDEV,BNB/USD,coinbase,-7.460270124262384,-99.9999996773195,127.98769634427396,3.577695448066847
STDDEV,SOL/USD,gross,-0.4072599412216655,-9.29681294404714,444.52662721893137,3.5729485593727963
STDDEV,SOL/USD,binance,-1.1680960676622931,-96.81069488019314,444.52662721893137,3.5729485593727963
STDDEV,SOL/USD,kraken,-2.3020730890546033,-99.97926151604733,444.52662721893137,3.5729485593727963
STDDEV,SOL/USD,coinbase,-4.612692226347532,-99.9999994745244,444.52662721893137,3.5729485593727963
STDDEV,DOGE/USD,gross,-0.18863592596803697,-58.894521874557014,-2.665011009874041,3.5777300177365596
STDDEV,DOGE/USD,binance,-0.910962378376863,-98.36106311906366,-2.665011009874041,3.5777300177365596
STDDEV,DOGE/USD,kraken,-1.9889419094465006,-99.98712485000964,-2.665011009874041,3.5777300177365596
STDDEV,DOGE/USD,coinbase,-4.192279692307759,-99.99999951460782,-2.665011009874041,3.5777300177365596
STDDEV,ADA/USD,gross,0.0760407314670839,-4.547016084408384,-29.612349978020703,3.576821770448599
STDDEV,ADA/USD,binance,-0.6848838757054239,-96.35838601852164,-29.612349978020703,3.576821770448599
STDDEV,ADA/USD,kraken,-1.8202378778547244,-99.97322880955141,-29.612349978020703,3.576821770448599
STDDEV,ADA/USD,coinbase,-4.137308218259184,-99.99999912209684,-29.612349978020703,3.576821770448599
STDDEV,TRX/USD,gross,-0.27633206597060717,257.68916793893294,526.9054758592694,3.577944244690496
STDDEV,TRX/USD,binance,-1.8626636862885722,-85.99500216721454,526.9054758592694,3.577944244690496
STDDEV,TRX/USD,kraken,-4.208857534523157,-99.8929410540003,526.9054758592694,3.577944244690496
STDDEV,TRX/USD,coinbase,-8.705739249213606,-99.99999618847039,526.9054758592694,3.577944244690496
STDDEV,AVAX/USD,gross,-0.052682251374256035,-56.83540361764739,-44.711375212224084,3.575539821433812
STDDEV,AVAX/USD,binance,-0.7823539972395134,-98.44461303108926,-44.711375212224084,3.575539821433812
STDDEV,AVAX/USD,kraken,-1.8713520376812753,-99.98950652252606,-44.711375212224084,3.575539821433812
STDDEV,AVAX/USD,coinbase,-4.098004434847983,-99.99999971270881,-44.711375212224084,3.575539821433812
STDDEV,LINK/USD,gross,-0.5226865202946169,-84.19374782248627,44.39775910364092,3.5799358640863708
STDDEV,LINK/USD,binance,-1.304478629220573,-99.4250974748214,44.39775910364092,3.5799358640863708
STDDEV,LINK/USD,kraken,-2.4681775737190157,-99.99606657073919,44.39775910364092,3.5799358640863708
STDDEV,LINK/USD,coinbase,-4.83146656979545,-99.99999988908847,44.39775910364092,3.5799358640863708
STOCH,BTC/USD,gross,-0.6870106530610036,-21.34805314895356,275.7583618315889,3.574504278177206
STOCH,BTC/USD,binance,-2.6109360719858348,-99.1364498317456,275.7583618315889,3.574504278177206
STOCH,BTC/USD,kraken,-5.332980209734192,-99.99902501813285,275.7583618315889,3.574504278177206
STOCH,BTC/USD,coinbase,-10.221640095460407,-99.99999999937687,275.7583618315889,3.574504278177206
