class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,5m,KO,KAMA_1000,vector-reference,gross,128107,False,3518.086939312979,3518.086939313084,2.972976293880577e-14,True,,,,
us_stocks,5m,KO,KAMA_1000,vector-reference,retail,128107,False,1736.4512557535143,1736.4512557539647,2.593952750245603e-13,True,,,,
us_stocks,5m,KO,KAMA_1000,vector-reference,wide,128107,False,550.3578502560579,550.3578502555332,9.533156578790584e-13,True,,,,
us_stocks,5m,KO,KAMA_1000,vector-reference,pessimistic,128107,False,31.097722968959896,31.09772296895252,2.3716957040724034e-13,True,,,,
us_stocks,5m,KO,KAMA_1000,vector-nautilus,gross,20000,True,7624.3034884088465,7624.28,3.080728473426737e-06,True,9496.0,0.023488408846787934,1.4617113258095797,11.689273099880666
us_stocks,5m,TSLA,MA_50,vector-reference,gross,108901,False,35293.19195401506,35293.19195401489,4.947780947892911e-15,True,,,,
us_stocks,5m,TSLA,MA_50,vector-reference,retail,108901,False,12910.482635723156,12910.482635733473,7.991419211824027e-13,True,,,,
us_stocks,5m,TSLA,MA_50,vector-reference,wide,108901,False,2502.1296784460374,2502.1296784440497,7.944035386530354e-13,True,,,,
us_stocks,5m,TSLA,MA_50,vector-reference,pessimistic,108901,False,41.31973609964527,41.31973609964348,4.3334441676913375e-14,True,,,,
us_stocks,5m,TSLA,MA_50,vector-nautilus,gross,20000,True,16205.207139657385,16205.47,1.622073327105992e-05,True,11500.0,0.2628603426146583,1.608570794214541,18.600114999804646
us_stocks,1m,HD,ATAN,vector-reference,gross,616699,False,202.88570418517028,202.8857041851542,7.928940879406615e-14,True,,,,
us_stocks,1m,HD,ATAN,vector-reference,retail,616699,False,0.01427270383999515,0.014272703839896891,6.884344286021992e-12,True,,,,
us_stocks,1m,HD,ATAN,vector-reference,wide,616699,False,2.2367289847723677e-09,2.236728984753815e-09,8.294627594765967e-12,True,,,,
us_stocks,1m,HD,ATAN,vector-reference,pessimistic,616699,False,2.145268103164947e-26,2.1452681031484634e-26,1.6483610602582941e-25,True,,,,
