symbol,first_bar,last_bar,n_bars,span_years,entry,tradable_years,dv_rank_window,dv_med_held,dv_min_year,dv_p10_year,dv_last5y,spread_cs_bps,spread_roll_bps,tick_bps,stale_pct,zerovol_pct,vol_ann_pct,maxdd_pct,reject,passes,score,rank,selected
SQQQ,2010-02-11,2026-08-07,3775,16.48,2011-08-03,15.01,961.3,337.6,17.2,39.9,2186.2,0.0,235.3,0.04,0.77,0.0,62.2,-100.0,leveraged/inverse/roll-decay product; only 15.0y tradable,False,961.3,0,False
XLK,1998-12-22,2026-08-07,4974,26.59,2006-10-27,19.78,933.5,382.7,5.3,10.4,1214.3,0.0,97.7,0.29,1.09,0.0,23.3,-52.5,only 19.8y tradable,False,933.5,0,False
GDX,2006-05-22,2026-08-07,4822,20.21,2007-06-08,19.16,841.8,678.1,18.1,139.0,758.8,0.0,84.6,0.18,0.6,0.0,41.7,-80.6,only 19.2y tradable,False,841.8,0,False
FXI,2004-10-08,2026-08-07,4998,21.83,2006-09-25,19.87,838.3,662.7,6.3,70.4,973.8,0.0,149.2,0.09,0.72,0.0,33.6,-72.7,only 19.9y tradable,False,838.3,0,False
XLP,1998-12-22,2026-08-07,4873,26.59,2007-03-27,19.36,686.8,395.7,0.6,1.5,854.2,6.1,56.5,0.18,1.56,0.0,14.6,-32.4,only 19.4y tradable,False,686.8,0,False
XBI,2006-02-06,2026-08-07,3228,20.5,2013-10-07,12.83,634.6,524.3,0.3,8.7,852.6,18.9,81.8,0.19,0.31,0.0,32.9,-63.9,only 12.8y tradable,False,634.6,0,False
SOXL,2010-03-11,2026-08-07,2256,16.41,2017-08-16,8.97,627.5,905.6,6.4,8.9,1825.4,0.0,433.1,0.46,0.66,0.0,106.4,-90.5,leveraged/inverse/roll-decay product; only 9.0y tradable,False,627.5,0,False
VTI,2001-06-15,2026-08-07,4744,25.14,2007-09-28,18.86,607.4,272.0,5.8,8.0,813.9,0.0,78.2,0.25,0.44,0.0,20.0,-55.5,only 18.9y tradable,False,607.4,0,False
XLY,1998-12-22,2026-08-07,4916,26.59,2007-01-24,19.53,599.0,346.4,0.4,1.6,812.3,0.0,64.0,0.3,0.71,0.0,22.7,-58.0,only 19.5y tradable,False,599.0,0,False
EWZ,2000-07-14,2026-08-07,4985,26.06,2006-10-12,19.82,584.1,486.7,0.0,0.1,610.8,0.0,133.1,0.09,0.54,0.0,39.5,-74.9,only 19.8y tradable,False,584.1,0,False
AGG,2003-09-29,2026-08-07,4646,22.86,2008-02-20,18.46,538.3,229.5,1.7,7.6,695.7,0.0,14.5,0.05,1.38,0.0,5.4,-18.4,only 18.5y tradable,False,538.3,0,False
IEF,2002-07-30,2026-08-07,4478,24.02,2008-10-17,17.8,479.8,206.6,4.5,8.6,656.5,0.0,14.1,0.04,0.8,0.0,6.9,-23.9,only 17.8y tradable,False,479.8,0,False
SPXL,2008-11-05,2026-08-07,4465,17.75,2008-11-05,17.75,469.5,211.4,58.2,64.3,708.7,0.0,207.7,0.37,0.49,0.0,54.9,-76.9,leveraged/inverse/roll-decay product; only 17.8y tradable,False,469.5,0,False
VNQ,2004-09-29,2026-08-07,4474,21.85,2008-10-23,17.79,318.1,231.7,0.3,2.6,342.6,11.0,149.3,0.19,0.51,0.0,28.3,-48.8,only 17.8y tradable,False,318.1,0,False
UPRO,2009-06-25,2026-08-07,4306,17.12,2009-06-25,17.12,313.1,225.0,123.1,140.4,394.5,0.0,200.4,0.28,0.3,0.0,51.2,-76.8,leveraged/inverse/roll-decay product; only 17.1y tradable,False,313.1,0,False
XLC,2018-06-19,2026-08-07,1952,8.13,2018-10-30,7.77,304.0,312.6,77.3,118.0,413.6,0.0,93.0,0.3,0.61,0.0,22.3,-46.7,only 7.8y tradable,False,304.0,0,False
RSP,2003-05-01,2026-08-07,3292,23.27,2013-07-08,13.08,285.1,131.2,1.3,7.9,838.3,0.0,59.3,0.25,0.52,0.0,17.4,-39.0,only 13.1y tradable,False,285.1,0,False
VXX,2018-01-25,2026-08-07,1795,8.53,2019-06-18,7.14,271.5,310.3,0.4,65.6,203.8,0.0,240.1,0.91,0.56,0.0,73.1,-99.5,leveraged/inverse/roll-decay product; only 7.1y tradable,False,271.5,0,False
USO,2006-04-10,2026-08-07,5114,20.33,2006-04-10,20.33,271.3,286.6,62.7,168.9,297.0,0.0,,0.88,0.61,0.0,37.2,-98.2,leveraged/inverse/roll-decay product,False,271.3,0,False
VTV,2004-01-30,2026-08-07,3345,22.52,2013-04-22,13.29,251.0,177.9,0.2,2.9,363.0,0.0,63.8,0.21,0.66,0.0,15.8,-36.8,only 13.3y tradable,False,251.0,0,False
IAU,2005-01-28,2026-08-07,4550,21.52,2008-07-08,18.08,234.1,122.3,2.6,11.5,282.2,0.0,13.3,1.43,2.88,0.0,18.0,-45.1,only 18.1y tradable,False,234.1,0,False
SHY,2002-07-30,2026-08-07,5056,24.02,2006-07-03,20.1,221.5,103.5,4.5,13.2,299.6,0.0,5.4,0.02,8.68,0.0,1.5,-5.7,8.7% flat closes,False,221.5,0,False
TIP,2003-12-05,2026-08-07,4555,22.67,2008-06-30,18.1,188.1,97.7,4.4,8.2,267.4,0.0,,0.04,1.43,0.0,6.2,-14.6,only 18.1y tradable,False,188.1,0,False
VUG,2004-01-30,2026-08-07,3291,22.52,2013-07-09,13.08,185.2,130.7,0.1,2.2,320.4,0.0,76.7,0.4,0.52,0.0,20.2,-34.2,only 13.1y tradable,False,185.2,0,False
USMV,2011-10-20,2026-08-07,2802,14.8,2015-06-17,11.14,174.8,165.3,0.0,6.0,187.3,3.4,58.7,0.21,0.86,0.0,14.4,-33.1,only 11.1y tradable,False,174.8,0,False
VGK,2005-03-10,2026-08-07,3976,21.41,2010-10-15,15.81,172.0,146.1,0.6,7.5,197.8,0.0,81.2,0.17,0.65,0.0,20.0,-37.3,only 15.8y tradable,False,172.0,0,False
