ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.8077146585389231,0.1,-0.8061509318460279,0.0,-1.308934482763434,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLCOUNTERATTACK,wide,-0.5902770675611123,420.201884803033,0.0003086275125199156,-0.009891745162863317,-0.016002222472082366,0.0004744291565528441,3.2595203712073797,426,False,False,True
-0.8118228619290937,0.1,-0.804310012520214,0.0,-1.3155919935845537,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDL3BLACKCROWS,wide,-0.6074236269235231,-4438.112526973996,-0.003453520696587259,-0.3904322258131978,-0.04028132471511466,0.0018966938500409476,12.702988572826374,1668,False,False,True
-0.811866789936263,0.1,-0.8081071517044796,0.0,-1.3156631807082924,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDL2CROWS,wide,-0.5964341023244873,-2165.2247699189124,-0.0016971443634658245,-0.19555186775777955,-0.03194441845538683,0.001165453150828041,7.889867733539409,1036,False,False,True
-0.8120252695945693,0.05,-0.802568993196569,0.0,-1.3159200034456051,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLRISEFALL3METHODS,wide,-0.6021025599860481,-4224.765679265893,-0.0032740921128092404,-0.2746579526680295,-0.0392181518885335,0.0022946536163875163,16.14529199263405,2120,False,False,True
-0.81531220210628,0.1,-0.8049794144941039,0.0,-1.321246611377764,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLLADDERBOTTOM,wide,-0.6065209215410493,-5145.066932312626,-0.004069199997829715,-0.22699761098105306,-0.05830026969515199,0.0028677498948355374,19.435272250158164,2552,False,False,True
-0.8170999678901882,0.1,-0.8013405700587741,0.0,-1.3241437586028681,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLINNECK,wide,-0.6076083805526884,-5589.7790734393175,-0.004374707827825975,-0.32739899140749873,-0.05448529354208757,0.00419729213822909,28.635025787268525,3760,False,False,True
-0.817317695162824,0.1,-0.7929924337269314,0.0,-1.3244965945109184,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLONNECK,wide,-0.6338077837199358,-12834.4314127099,-0.010136569633978548,-0.5533261904257216,-0.08983446973168692,0.006475524776224317,44.033972911008064,5782,False,False,True
-0.8175353115262581,0.05,-0.7936527601657293,0.0,-1.3248492506860927,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLIDENTICAL3CROWS,wide,-0.6061546588890975,-5656.731977663589,-0.00451271315841707,-0.294030112011672,-0.07256674121720086,0.005480245493548109,36.17458936787513,4750,False,False,True
-0.8196461650980224,0.1,-0.8071721481018507,0.0,-1.3282699748229363,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLTRISTAR,wide,-0.5988856343321687,-2664.0873895599943,-0.00216066116527191,-0.25407979692353216,-0.04205922138739004,0.002827799685972761,19.84651666440036,2541,False,False,True
-0.8197197288152053,0.1,-0.8066232029856042,0.0,-1.3283891878210947,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLUNIQUE3RIVER,wide,-0.6080555296874164,-6486.593047003745,-0.005074777661555452,-0.38449592289861184,-0.0519431769111818,0.0032074661492062484,21.750442678287918,2856,False,False,True
-0.8233645624032958,0.05,-0.8046337019685117,0.0,-1.3342957890161455,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLSTICKSANDWICH,wide,-0.6042452629502598,-4398.492687079469,-0.003491622298375724,-0.26824532538165835,-0.056437248264834275,0.005042941462487903,34.10310667569459,4478,False,False,True
-0.8294400331537364,0.1,-0.8089572486571684,0.0,-1.3441413366736035,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLHIKKAKEMOD,wide,-0.6057806277646948,-7433.635139690345,-0.005876790186186159,-0.3145329053048215,-0.0742384450585993,0.005378215186479593,33.35678377308994,4374,False,False,True
-0.8339727896866389,0.1,-0.8019918859443841,0.0,-1.3514868531442588,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDL3WHITESOLDIERS,wide,-0.6293586323403896,-11857.87934120387,-0.009377248271910388,-0.48673117036351143,-0.09115924967285305,0.008052330421715067,53.73639019738573,7056,False,False,True
-0.8359818197213549,0.1,-0.7973523530037141,0.0,-1.354742568094516,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLMORNINGDOJISTAR,wide,-0.647012168975308,-16335.126343061136,-0.013040138677039303,-0.5514356019686717,-0.11455175516340237,0.00936653587168597,65.64735322444184,8620,False,False,True
-0.8444206067546907,0.0,-0.803410691612445,0.0,-1.3684179659888802,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLGAPSIDESIDEWHITE,wide,-0.6224364951177519,-11841.23432792214,-0.009587086169464177,-0.4890830342600919,-0.0913425127123102,0.00927535637617423,62.70768234678211,8222,False,False,True
-0.8533805611907692,0.0,-0.8129439147746809,0.0,-1.3829379368738794,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLEVENINGDOJISTAR,wide,-0.654857719864131,-23953.934391035997,-0.01944510095561052,-0.8341725372573391,-0.1436074526589995,0.009611618094564236,66.60693083907518,8746,False,False,True
-0.8538314422746648,0.1,-0.8113522017080129,0.0,-1.3836686080237683,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLPIERCING,wide,-0.6465598074142916,-17666.689401814325,-0.01427589347987962,-0.5938126336986556,-0.1200982216423615,0.01167477827625549,81.71646043458173,10730,False,False,True
-0.8599178826048481,0.0,-0.8054923727517747,0.0,-1.393531932331724,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLDARKCLOUDCOVER,wide,-0.6396742292747251,-21438.571886504484,-0.01748740485238216,-0.6342496077383447,-0.1423524028678254,0.01454835634535127,99.96367928085265,13126,False,False,True
-0.8706019225477531,0.0,-0.8281480811114591,0.0,-1.4108458539606656,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLTASUKIGAP,wide,-0.6250823748333236,-17489.06855661856,-0.014314042873746274,-0.5450003977542471,-0.12736257017986427,0.011556530096250576,78.5940460520201,10279,False,False,True
-0.874176484566313,0.05,-0.8003423190664822,0.0,-1.4166385772168375,,PEP,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDL3LINESTRIKE,wide,-0.6539937436454306,-27406.917092730135,-0.022877746998810355,-0.6537670986580867,-0.17564851527910408,0.015767117179470456,113.01704083873918,14810,False,False,True
-0.8802369202658582,0.0,-0.8038929692228978,0.0,-1.426459759962307,,UNH,20,20,2.6261521788729185,False,False,False,False,0,False,us_stocks,5m,CDLHOMINGPIGEON,wide,-0.6837161335977013,-31824.005142089696,-0.026885665534741827,-0.7669559789125862,-0.1896698027443395,0.020099470585425553,135.0263930359315,17730,False,False,True
